"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Phlpp2","0.840","3.213","2.738","2.252"
"Kirrel3","0.840","3.213","2.738","2.252"
"Usp2","0.840","3.213","2.738","2.252"
"Cgas","0.840","3.213","2.738","2.252"
"Zcwpw2","0.840","3.213","2.738","2.252"
"Epm2a","0.840","3.213","2.738","2.252"
"Creb3l3","0.840","3.213","2.738","2.252"
"Arhgef25","0.840","3.213","2.738","2.252"
"Tmem17","0.840","3.213","2.738","2.252"
"Rad51c","0.840","3.213","2.738","2.252"
"Zpbp2","0.840","3.213","2.738","2.252"
"Arl4d","0.840","3.213","2.738","2.252"
"Kif18b","0.840","3.213","2.738","2.252"
"Mrc2","0.840","3.213","2.738","2.252"
"Sectm1a","0.840","3.213","2.738","2.252"
"Pnma1","0.840","3.213","2.738","2.252"
"Zc2hc1c","0.840","3.213","2.738","2.252"
"Batf","0.840","3.213","2.738","2.252"
"Amn","0.840","3.213","2.738","2.252"
"Zfp184","0.840","3.213","2.738","2.252"
"Tubb2a","0.840","3.213","2.738","2.252"
"Rsl1","0.840","3.213","2.738","2.252"
"F2r","0.840","3.213","2.738","2.252"
"Cebpe","0.840","3.213","2.738","2.252"
"Gsdmc","0.840","3.213","2.738","2.252"
"Jrk","0.840","3.213","2.738","2.252"
"BC024139","0.840","3.213","2.738","2.252"
"Cyp2d34","0.840","3.213","2.738","2.252"
"Parvb","0.840","3.213","2.738","2.252"
"Gpr84","0.840","3.213","2.738","2.252"
"Mcm4","0.840","3.213","2.738","2.252"
"Tnfsf9","0.840","3.213","2.738","2.252"
"Ltbp1","0.840","3.213","2.738","2.252"
"Cdc42ep2","0.840","3.213","2.738","2.252"
"Acta2","0.840","3.213","2.738","2.252"
"Pdzd7","0.840","3.213","2.738","2.252"
"Chst7","0.840","3.213","2.738","2.252"
"Pdzd4","0.840","3.213","2.738","2.252"
"Nap1l3","0.840","3.213","2.738","2.252"
"Zmat1","0.840","3.213","2.738","2.252"
"Tceal1","0.840","3.213","2.738","2.252"
"Arl13b","0.840","3.211","4.967","2.318"
"Pole2","0.843","3.203","4.305","3.064"
"Zscan2","0.843","-3.201","3.875","-2.344"
"Rbpjl","0.844","3.195","3.769","4.313"
"Plekhg5","0.844","-3.185","4.553","-2.113"
"Fgfrl1","0.844","-3.185","4.553","-2.113"
"Cct6a","0.844","-3.185","4.553","-2.113"
"Nedd1","0.848","-3.177","3.972","-2.537"
"Rnf145","0.850","-3.161","4.580","-2.168"
"Ube2j1","0.850","3.128","4.719","2.308"
"Elk3","0.850","-3.108","3.922","-2.436"
"Fbxl6","0.850","-3.092","5.273","-2.331"
"Parp3","0.850","-3.091","4.501","-2.010"
"Cthrc1","0.850","3.085","5.282","2.210"
"Btnl4","0.850","3.072","4.142","2.738"
"Ranbp10","0.850","-3.068","3.875","-2.344"
"Atxn2","0.850","-3.065","4.931","-2.133"
"Ilf3","0.850","-3.065","4.931","-2.133"
"Cavin1","0.850","-3.065","4.931","-2.133"
"Eef1g","0.850","-3.065","4.931","-2.133"
"Lrp2","0.850","3.065","3.652","2.495"
"Prr11","0.850","3.065","3.652","2.495"
"Asb16","0.850","3.065","3.652","2.495"
"Ptrhd1","0.850","3.065","3.652","2.495"
"Atg16l2","0.850","3.058","4.946","2.023"
"Cd46","0.850","3.055","3.531","2.252"
"Cytip","0.850","3.055","3.531","2.252"
"Zfp341","0.850","3.055","3.531","2.252"
"Runx1t1","0.850","3.055","3.531","2.252"
"Mmp23","0.850","3.055","3.531","2.252"
"Myo1h","0.850","3.055","3.531","2.252"
"Rnf26","0.850","3.055","3.531","2.252"
"Il20rb","0.850","3.055","3.531","2.252"
"Fam117a","0.850","3.055","3.531","2.252"
"Hist1h2ae","0.850","3.055","3.531","2.252"
"Npm2","0.850","3.055","3.531","2.252"
"Fbxo32","0.850","3.055","3.531","2.252"
"Ppp2r2b","0.850","3.055","3.531","2.252"
"AW554918","0.850","3.043","5.687","2.368"
"Larp7","0.850","-3.043","3.815","-2.223"
"Eif3i","0.850","-3.043","3.815","-2.223"
"Fgd6","0.850","-3.043","3.815","-2.223"
"Btbd6","0.850","-3.043","3.815","-2.223"
"Pi4kb","0.850","3.039","4.629","2.127"
"Adgrg2","0.850","3.039","4.629","2.127"
"Lnx1","0.850","3.039","4.211","2.029"
"Plagl1","0.850","3.039","4.211","2.029"
"Vsir","0.850","3.039","4.211","2.029"
"Lbh","0.853","3.030","5.048","2.229"
"Napepld","0.853","-3.030","5.260","-2.306"
"Ubxn2a","0.853","-3.027","4.921","-2.113"
"Dpt","0.865","3.015","4.233","2.071"
"Rpusd2","0.880","-2.995","3.836","-2.266"
"Ormdl2","0.880","-2.995","3.836","-2.266"
"Mbd4","0.880","2.995","4.184","2.821"
"Thumpd1","0.886","-2.983","4.481","-1.970"
"Ptk7","0.886","-2.983","4.481","-1.970"
"Ppp1r3a","0.886","-2.972","3.815","-2.223"
"Pmp22","0.886","-2.972","3.815","-2.223"
"Coro2b","0.886","2.972","3.715","2.621"
"Sec14l4","0.886","2.972","3.715","2.621"
"Usp5","0.907","-2.953","6.053","-1.944"
"Eif2ak4","0.907","-2.951","5.875","-2.643"
"Spp1","0.918","-2.938","5.467","-2.357"
"Pold1","0.918","2.931","5.626","2.247"
"Abcb6","0.918","2.930","4.021","2.495"
"Ptprd","0.918","2.930","4.021","2.495"
"Mfsd10","0.921","-2.926","4.898","-2.068"
"Ttc23","0.951","-2.902","5.209","-2.204"
"Ndufaf7","0.968","-2.887","4.456","-1.920"
"Tomm70a","0.969","2.879","4.580","2.029"
"Cct4","0.969","-2.876","4.876","-2.023"
"Eif2s1","0.969","-2.876","4.876","-2.023"
"Frmpd1","0.969","2.873","4.139","1.884"
"Dlgap1","0.969","2.873","4.139","1.884"
"Cops6","0.972","-2.867","6.030","-1.899"
"Zkscan14","0.979","2.860","5.025","2.071"
"B4gat1","0.987","-2.846","4.862","-1.995"
"Commd6","0.987","-2.838","4.507","-2.023"
"Gpank1","0.987","-2.837","4.891","-2.053"
"Mgat1","0.987","-2.834","5.172","-2.130"
"Bcas3","0.987","2.829","4.507","1.884"
"Znfx1","0.987","-2.825","3.743","-2.078"
"Gng5","0.987","-2.825","3.743","-2.078"
"Pwp2","0.987","-2.825","3.743","-2.078"
"Capn13","0.987","2.825","5.058","2.137"
"Ppp4r2","0.987","-2.823","5.598","-1.882"
"Snx7","0.987","2.823","5.841","1.828"
"Zbtb26","0.987","2.821","4.111","2.676"
"Zxdc","0.987","2.820","4.885","1.903"
"Zfand5","0.992","-2.813","6.165","-1.878"
"Nubp2","0.992","-2.807","4.517","-2.042"
"Apoa4","0.992","2.792","3.927","2.308"
"Sugct","0.992","2.792","3.927","2.308"
"Upk1b","0.992","2.792","3.927","2.308"
"Mettl8","0.992","-2.778","3.724","-2.042"
"Lmln","0.992","2.777","4.462","2.892"
"Stradb","0.992","-2.770","4.404","-1.816"
"Bag4","0.992","-2.770","4.404","-1.816"
"Hdac7","0.992","2.769","5.648","1.805"
"B3galt6","0.992","-2.768","3.836","-2.266"
"Homer1","0.992","-2.768","3.836","-2.266"
"Mogat1","0.992","2.760","5.266","2.554"
"Lrmda","0.992","2.753","5.587","1.927"
"Plce1","0.992","-2.748","5.151","-2.089"
"Ppwd1","0.992","-2.747","4.822","-1.915"
"Sptssb","0.992","2.738","5.587","2.169"
"Prep","0.992","-2.736","4.904","-2.078"
"Lratd1","0.992","-2.736","4.855","-2.717"
"Dusp28","0.992","2.736","4.553","1.974"
"Pygo2","0.992","-2.725","5.287","-1.997"
"Neo1","0.992","-2.723","4.813","-1.897"
"Flot2","0.992","-2.723","4.813","-1.897"
"Tfe3","0.992","2.722","5.331","1.823"
"Sp5","0.992","2.722","3.531","2.252"
"Akna","0.992","2.722","3.531","2.252"
"Map3k6","0.992","2.722","3.531","2.252"
"Fabp1","0.992","2.722","3.531","2.252"
"Bnip3","0.992","2.722","3.531","2.252"
"Hsd17b2","0.992","2.722","3.531","2.252"
"Fxyd6","0.992","2.722","3.531","2.252"
"Ppp3cc","0.992","2.722","3.531","2.252"
"Zfp280b","0.992","2.717","5.254","1.793"
"Map3k8","0.992","2.717","5.254","1.793"
"Sertm1","0.992","-2.717","3.785","-2.162"
"Ddx58","0.992","-2.717","3.785","-2.162"
"Smn1","0.992","-2.717","3.785","-2.162"
"Slc19a1","0.992","-2.716","4.441","-1.889"
"Fastkd2","0.992","2.710","5.067","1.781"
"Gjb2","0.992","-2.709","5.583","-2.299"
"Nme1","0.992","-2.684","5.121","-2.028"
"Clic4","0.992","-2.669","5.742","-2.376"
"Lss","0.992","-2.667","5.950","-1.738"
"Gtpbp10","0.992","2.664","4.354","2.676"
"Zfp644","0.992","2.664","4.354","2.676"
"Nufip1","0.992","2.661","4.233","2.434"
"Nrbf2","0.992","-2.661","4.846","-1.963"
"Ercc2","0.992","-2.641","5.119","-2.023"
"Ldlrad3","0.992","2.641","5.403","1.801"
"Klhl15","0.992","2.640","4.278","2.524"
"Sf3b4","0.992","2.640","4.507","1.884"
"Rnf133","0.992","-2.640","3.724","-2.042"
"Rad52","0.992","-2.640","3.724","-2.042"
"Ccdc166","0.992","-2.640","3.724","-2.042"
"Cobl","0.992","2.633","5.748","1.763"
"Mcee","0.992","2.633","5.042","1.732"
"Eprs","0.992","-2.633","5.756","-1.712"
"Abcc5","0.992","2.630","5.738","1.744"
"Gstm4","0.992","2.624","4.323","2.252"
"Zfp182","0.992","-2.623","4.777","-1.825"
"Cks2","0.992","-2.620","3.800","-2.193"
"Pycr2","0.992","-2.616","4.368","-1.745"
"Adgre5","0.992","-2.616","4.368","-1.745"
"Inpp4b","0.992","2.608","4.048","1.703"
"Phf21b","0.992","2.608","4.048","1.703"
"Vma21","0.992","2.608","4.048","1.703"
"Acer2","0.992","-2.607","4.344","-1.696"
"Zfp60","0.992","-2.607","4.344","-1.696"
"Pdlim7","0.992","2.605","5.485","1.768"
"Cyb561a3","0.992","-2.605","5.096","-1.978"
"Kcnh2","0.992","-2.597","3.652","-1.897"
"Svopl","0.992","-2.597","3.652","-1.897"
"Prpf31","0.992","-2.597","3.652","-1.897"
"Itga9","0.992","-2.597","3.652","-1.897"
"Gprc5c","0.992","-2.597","3.652","-1.897"
"Prrg1","0.992","-2.597","3.652","-1.897"
"Akr1b8","0.992","2.597","5.083","1.812"
"Adcy2","0.992","2.594","5.962","1.782"
"Ttll3","0.992","2.586","4.750","1.884"
"Klhl11","0.992","2.586","4.750","1.884"
"Zglp1","0.992","2.586","4.233","2.071"
"Ank1","0.992","2.585","4.021","2.495"
"Rbm42","0.992","-2.583","5.557","-2.248"
"Daxx","0.992","-2.581","5.089","-1.963"
"Traf3ip3","0.992","2.580","3.836","2.127"
"Ada","0.992","2.580","3.836","2.127"
"Tnni3","0.992","2.580","3.836","2.127"
"Mkrn3","0.992","2.580","3.836","2.127"
"Nmral1","0.992","2.580","3.836","2.127"
"Hey1","0.992","2.579","3.815","2.821"
"Myzap","0.992","2.575","4.629","2.127"
"Pola2","0.992","2.575","4.629","2.127"
"Sctr","0.992","2.574","5.088","2.197"
"Cr1l","0.992","-2.569","5.320","-2.062"
"Syne4","0.992","2.561","3.652","2.495"
"Npat","0.992","2.561","3.652","2.495"
"Aldh1a2","0.992","2.561","3.652","2.495"
"Ankhd1","0.992","-2.554","5.512","-1.710"
"Ube2z","0.992","-2.549","5.070","-1.926"
"Ccdc22","0.992","2.545","5.367","1.728"
"Cers4","0.992","-2.544","4.777","-1.825"
"Ccdc93","0.992","-2.543","4.344","-1.696"
"Celsr1","0.992","-2.539","6.333","-1.766"
"Cdkn1a","0.992","2.538","6.349","1.660"
"Polr3c","0.992","-2.532","5.309","-2.042"
"Spg21","0.992","2.527","5.136","2.294"
"Pltp","0.992","2.527","3.899","2.252"
"Hmgcs2","0.992","2.527","3.899","2.252"
"Pik3cg","0.992","2.527","3.899","2.252"
"Tcf12","0.992","2.522","7.485","1.747"
"Fam102b","0.992","-2.522","3.652","-1.897"
"Zfp111","0.992","-2.522","3.652","-1.897"
"Lysmd2","0.992","-2.522","3.652","-1.897"
"Ift140","0.992","-2.522","3.652","-1.897"
"Copg1","0.992","-2.520","6.869","-2.103"
"Sde2","0.992","2.519","5.416","1.630"
"Hck","0.992","2.516","3.531","2.252"
"Ssx2ip","0.992","2.516","3.531","2.252"
"Nupr1l","0.992","2.516","3.531","2.252"
"Pdk4","0.992","2.516","3.531","2.252"
"Zfp128","0.992","2.516","3.531","2.252"
"Ntf5","0.992","2.516","3.531","2.252"
"Nemp1","0.992","2.516","3.531","2.252"
"Ddc","0.992","2.516","3.531","2.252"
"Scel","0.992","2.516","3.531","2.252"
"Naxe","0.992","-2.514","4.323","-1.654"
"Comt","0.992","-2.513","4.792","-1.855"
"Arhgef40","0.992","2.511","5.823","1.915"
"Me1","0.992","-2.511","5.296","-2.014"
"Myo7b","0.992","2.508","4.181","2.331"
"Cx3cl1","0.992","-2.504","5.075","-1.935"
"Ahctf1","0.992","-2.503","4.737","-1.745"
"Exosc4","0.992","-2.503","4.737","-1.745"
"Cstf2","0.992","-2.494","4.824","-1.920"
"Mov10","0.992","2.494","5.329","2.149"
"Gpn1","0.992","2.491","4.538","1.945"
"Nacc2","0.992","2.489","4.913","1.847"
"Gkn2","0.992","2.487","12.544","2.345"
"Cd244a","0.992","2.486","4.111","1.828"
"Bbs5","0.992","2.486","4.111","1.828"
"Crybb3","0.992","2.486","4.111","1.828"
"Cdkn1c","0.992","2.486","4.111","1.828"
"Abi3","0.992","2.486","4.111","1.828"
"Tenm4","0.992","2.478","4.396","1.660"
"Tmem39b","0.992","2.471","4.417","1.703"
"Nudt1","0.992","2.471","4.417","1.703"
"Nhsl1","0.992","2.471","4.417","1.703"
"Ahnak2","0.992","2.471","4.417","1.703"
"Hus1b","0.992","2.471","4.417","1.703"
"Edn1","0.992","2.471","4.417","1.703"
"Rsbn1","0.992","-2.468","4.764","-1.799"
"Tpx2","0.992","-2.467","3.663","-1.920"
"Tma7","0.992","-2.467","3.663","-1.920"
"Pald1","0.992","-2.467","3.663","-1.920"
"Rpp30","0.992","-2.467","3.663","-1.920"
"Kif4","0.992","-2.467","3.663","-1.920"
