"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Slc20a1","0.968","2.239","5.442","2.578"
"Gpn2","0.968","2.239","5.442","2.578"
"Gvin1","0.968","2.239","5.442","2.578"
"Tspan8","0.968","2.239","7.395","2.578"
"Camk2b","0.968","2.239","6.234","2.578"
"Eif2s1","0.968","2.239","5.442","2.578"
"Iglc1","0.968","2.239","5.442","2.578"
"Ckmt1","0.968","2.235","6.843","2.574"
"Anxa9","0.968","-2.201","4.470","-2.534"
"Glipr2","0.968","-2.201","4.470","-2.534"
"Pcnt","0.968","-2.201","5.631","-2.534"
"Olfr1390","0.968","-2.201","4.470","-2.534"
"Slc38a6","0.968","-2.201","5.631","-2.534"
"Elp2","0.968","-2.201","4.470","-2.534"
"Snx12","0.968","-2.201","4.470","-2.534"
"Rptn","0.968","2.200","5.419","2.533"
"Obox5","0.968","2.200","5.419","2.533"
"Degs2","0.968","2.200","6.212","2.533"
"Epcam","0.968","2.200","7.543","2.533"
"Tmem8","0.968","2.196","6.578","2.529"
"Dnm3","0.968","2.180","5.408","2.510"
"Dis3l","0.968","2.180","5.408","2.510"
"Rala","0.968","2.180","5.408","2.510"
"Cacnb3","0.968","2.180","5.408","2.510"
"Papss2","0.968","2.180","5.408","2.510"
"Krt5","0.968","-2.178","6.779","-2.508"
"Olfr1107","0.968","2.169","5.402","2.498"
"Cdiptos","0.968","2.169","5.402","2.498"
"Ncoa7","0.968","2.169","6.194","2.498"
"Upp1","0.968","2.169","5.402","2.498"
"Zmym2","0.968","2.169","5.402","2.498"
"Dgki","0.968","2.166","6.192","2.494"
"Thbs3","0.968","2.159","5.396","2.486"
"Tmem38b","0.968","2.159","5.396","2.486"
"Fgl2","0.968","2.159","5.396","2.486"
"Lat2","0.968","2.159","5.396","2.486"
"Kat6a","0.968","2.159","5.396","2.486"
"Bckdhb","0.968","2.159","5.396","2.486"
"Galnt10","0.968","2.159","5.396","2.486"
"Trim58","0.968","2.159","5.396","2.486"
"Sirt7","0.968","2.159","7.519","2.486"
"Heg1","0.968","2.159","5.396","2.486"
"Vps26c","0.968","2.159","5.396","2.486"
"Tpsab1","0.968","2.159","5.396","2.486"
"Tpsb2","0.968","2.159","5.396","2.486"
"Zrsr2","0.968","2.159","5.396","2.486"
"Olfr648","0.968","-2.153","5.235","-2.479"
"Zfp963","0.968","-2.153","5.235","-2.479"
"Lama4","0.968","-2.153","5.235","-2.479"
"Olfr139","0.968","-2.153","5.235","-2.479"
"Axin2","0.968","-2.153","5.235","-2.479"
"Eif4a3","0.968","-2.153","5.235","-2.479"
"Spertl","0.968","-2.153","5.235","-2.479"
"Spink5","0.968","-2.153","5.235","-2.479"
"Dok5","0.968","2.148","5.389","2.473"
"AU015836","0.968","2.148","5.389","2.473"
"Myl6","0.968","2.110","6.160","2.430"
"Ppp1r16a","0.968","2.110","6.160","2.430"
"Nrp2","0.968","2.091","5.356","2.408"
"Olfr361","0.968","2.091","5.356","2.408"
"Slc16a1","0.968","2.091","5.356","2.408"
"Syde2","0.968","2.091","5.356","2.408"
"Rgs3","0.968","2.091","5.356","2.408"
"Dok7","0.968","2.091","5.356","2.408"
"N4bp2","0.968","2.091","5.356","2.408"
"Slc4a4","0.968","2.091","5.356","2.408"
"Tecpr1","0.968","2.091","5.356","2.408"
"Vmn2r22","0.968","2.091","5.356","2.408"
"Klra4","0.968","2.091","5.356","2.408"
"N4bp1","0.968","2.091","6.517","2.408"
"Cenpo","0.968","2.091","5.356","2.408"
"Ctla2a","0.968","2.091","5.356","2.408"
"Marveld2","0.968","2.091","5.356","2.408"
"Aqp4","0.968","2.091","5.356","2.408"
"Clcf1","0.968","2.091","5.356","2.408"
"Fundc1","0.968","2.091","5.356","2.408"
"Cbs","0.968","-2.081","6.663","-2.397"
"Gjb1","0.968","2.069","6.505","2.383"
"Rab14","0.968","2.065","6.745","2.378"
"Zc3h6","0.968","2.054","5.335","2.365"
"Gon4l","0.968","2.054","5.335","2.365"
"Fbxl5","0.968","2.054","5.335","2.365"
"Gcc1","0.968","2.054","5.335","2.365"
"Crbn","0.968","2.054","5.335","2.365"
"Olfr494","0.968","2.054","5.335","2.365"
"Phkg2","0.968","2.054","5.335","2.365"
"Olfr1351","0.968","2.054","5.335","2.365"
"Ikzf1","0.968","2.054","5.335","2.365"
"Gas7","0.968","2.054","5.335","2.365"
"Mycbpap","0.968","2.054","5.335","2.365"
"Dtnbp1","0.968","2.054","5.335","2.365"
"Atg101","0.968","2.054","5.335","2.365"
"Fgd2","0.968","2.054","5.335","2.365"
"Pex6","0.968","2.054","5.335","2.365"
"Arl2","0.968","2.054","5.335","2.365"
"Rfx3","0.968","2.054","5.335","2.365"
"Entpd1","0.968","2.054","5.335","2.365"
"Olfr1411","0.968","-2.043","4.380","-2.353"
"Slc41a1","0.968","-2.043","4.380","-2.353"
"Prnd","0.968","-2.043","4.380","-2.353"
"Wfdc6b","0.968","-2.043","4.380","-2.353"
"Casp8ap2","0.968","-2.043","5.172","-2.353"
"Mdn1","0.968","-2.043","4.380","-2.353"
"Nfxl1","0.968","-2.043","5.965","-2.353"
"Anapc5","0.968","-2.043","4.380","-2.353"
"Gstk1","0.968","-2.043","4.380","-2.353"
"Clec1a","0.968","-2.043","4.380","-2.353"
"Erf","0.968","-2.043","5.172","-2.353"
"Foxi2","0.968","-2.043","4.380","-2.353"
"Pcid2","0.968","-2.043","5.172","-2.353"
"Lipc","0.968","-2.043","4.380","-2.353"
"Bpifc","0.968","-2.043","4.380","-2.353"
"Nup37","0.968","-2.043","5.172","-2.353"
"Rdh7","0.968","-2.043","5.172","-2.353"
"Olfr802","0.968","-2.043","5.172","-2.353"
"Fnip1","0.968","-2.043","5.541","-2.353"
"Psmd3","0.968","-2.043","4.380","-2.353"
"Krtap3-1","0.968","-2.043","5.172","-2.353"
"Gast","0.968","-2.043","4.380","-2.353"
"Adam21","0.968","-2.043","5.541","-2.353"
"Peli2","0.968","-2.043","5.172","-2.353"
"Olfr742","0.968","-2.043","5.172","-2.353"
"Nynrin","0.968","-2.043","5.172","-2.353"
"Lrrc24","0.968","-2.043","4.380","-2.353"
"Ccnt1","0.968","-2.043","5.541","-2.353"
"Krt90","0.968","-2.043","5.541","-2.353"
"Cfap44","0.968","-2.043","4.380","-2.353"
"Senp7","0.968","-2.043","5.172","-2.353"
"Urb1","0.968","-2.043","5.172","-2.353"
"H2-D1","0.968","-2.043","6.333","-2.353"
"Olfr112","0.968","-2.043","4.380","-2.353"
"Adgrf4","0.968","-2.043","5.965","-2.353"
"Dsg1b","0.968","-2.043","5.541","-2.353"
"Synpo","0.968","-2.043","5.965","-2.353"
"Gstp2","0.968","-2.043","5.172","-2.353"
"Col17a1","0.968","-2.043","4.380","-2.353"
"Mmgt1","0.968","-2.043","5.172","-2.353"
"Hcfc1","0.968","-2.043","5.172","-2.353"
"Vav1","0.968","2.039","6.487","2.348"
"Nup88","0.968","2.037","6.118","2.346"
"Elovl6","0.968","2.028","5.320","2.336"
"Stx12","0.968","2.028","6.113","2.336"
"Med13l","0.968","2.028","6.113","2.336"
"Setd1b","0.968","2.028","6.481","2.336"
"P3h3","0.968","2.028","5.320","2.336"
"Grm5","0.968","2.028","5.320","2.336"
"Dnajb13","0.968","2.028","5.320","2.336"
"Olfr854","0.968","2.028","5.320","2.336"
"Fbxo30","0.968","2.028","5.320","2.336"
"Rap1b","0.968","2.028","6.113","2.336"
"Mphosph8","0.968","2.028","6.113","2.336"
"Vdr","0.968","2.028","5.320","2.336"
"Birc6","0.968","2.028","6.113","2.336"
"Rnasel","0.968","2.015","5.313","2.320"
"Duox2","0.968","2.015","6.105","2.320"
"Tspan15","0.968","2.015","6.105","2.320"
"Col3a1","0.968","2.009","6.713","2.314"
"Krt16","0.968","-2.007","5.519","-2.311"
"Tdh","0.968","-2.007","5.519","-2.311"
"Rabepk","0.968","2.001","5.305","2.305"
"Ap4b1","0.968","2.001","5.305","2.305"
"Gtf2b","0.968","2.001","5.305","2.305"
"Zbtb40","0.968","2.001","5.305","2.305"
"Pramel5","0.968","2.001","5.305","2.305"
"Rilpl2","0.968","2.001","5.305","2.305"
"Arpc1b","0.968","2.001","5.305","2.305"
"Lrrc61","0.968","2.001","5.305","2.305"
"Zscan5b","0.968","2.001","5.305","2.305"
"Ceacam14","0.968","2.001","5.305","2.305"
"Sertad1","0.968","2.001","5.305","2.305"
"Olfr518","0.968","2.001","5.305","2.305"
"Ncam1","0.968","2.001","5.305","2.305"
"Lrrc49","0.968","2.001","5.305","2.305"
"Scml4","0.968","2.001","5.305","2.305"
"Zkscan6","0.968","2.001","5.305","2.305"
"Cdk5rap3","0.968","2.001","6.097","2.305"
"Nbr1","0.968","2.001","5.305","2.305"
"Slc26a3","0.968","2.001","5.305","2.305"
"Fam240b","0.968","2.001","5.305","2.305"
"Hmgcr","0.968","2.001","6.097","2.305"
"Synpr","0.968","2.001","5.305","2.305"
"Slc22a17","0.968","2.001","5.305","2.305"
"Mrtfa","0.968","2.001","6.097","2.305"
"Psmd2","0.968","2.001","5.305","2.305"
"Psmb1","0.968","2.001","5.305","2.305"
"Zfp414","0.968","2.001","5.305","2.305"
"Il17b","0.968","2.001","5.305","2.305"
"Txndc5","0.968","1.996","7.152","2.298"
"Rb1cc1","0.968","-1.990","5.753","-2.292"
"Fastkd5","0.968","-1.990","5.753","-2.292"
"Ly6a","0.968","-1.990","5.753","-2.292"
"Itprip","0.968","-1.981","6.540","-2.281"
"Dclk1","0.968","1.979","8.069","2.278"
"Mprip","0.968","1.973","7.550","2.272"
"Id3","0.968","1.970","6.872","2.268"
"Arrb1","0.968","1.968","6.078","2.267"
"Inpp5d","0.968","1.964","6.445","2.262"
"Casp8","0.968","1.958","6.073","2.255"
"Igfbp5","0.968","1.958","6.073","2.255"
"Olfr1084","0.968","1.958","5.280","2.255"
"Olfr1111","0.968","1.958","5.280","2.255"
"Arfgap2","0.968","1.958","6.073","2.255"
"Fer1l4","0.968","1.958","6.441","2.255"
"Slc2a10","0.968","1.958","5.280","2.255"
"Grik3","0.968","1.958","5.280","2.255"
"Ube2j2","0.968","1.958","5.280","2.255"
"Speer4d","0.968","1.958","5.280","2.255"
"Bcl7a","0.968","1.958","5.280","2.255"
"Olfr544","0.968","1.958","5.280","2.255"
"Olfr706","0.968","1.958","5.280","2.255"
"Olfr148","0.968","1.958","5.280","2.255"
"Cryab","0.968","1.958","5.280","2.255"
"Ccdc33","0.968","1.958","5.280","2.255"
"Mdm2","0.968","1.958","5.280","2.255"
"Olfr791","0.968","1.958","5.280","2.255"
"Msgn1","0.968","1.958","5.280","2.255"
"Crip1","0.968","1.958","7.010","2.255"
"Erich5","0.968","1.958","5.280","2.255"
"Pigz","0.968","1.958","5.280","2.255"
"Clic5","0.968","1.958","6.073","2.255"
"Plcd1","0.968","-1.958","5.916","-2.255"
"Elp5","0.968","-1.958","5.916","-2.255"
"BC003965","0.968","-1.958","5.916","-2.255"
"Kdm4a","0.968","1.952","6.680","2.248"
"Fam110c","0.968","1.948","6.678","2.243"
"Ptgs1","0.968","1.946","7.317","2.241"
"Cnksr1","0.968","1.939","6.061","2.232"
"Nqo1","0.968","1.939","6.061","2.232"
"Tmem263","0.968","1.939","6.061","2.232"
"Ypel2","0.968","1.939","6.061","2.232"
"Ppp6r2","0.968","1.939","6.061","2.232"
"Cers6","0.968","-1.937","6.048","-2.231"
"Capn5","0.968","1.930","6.993","2.222"
"Tmem9","0.968","1.928","5.263","2.221"
"Cstl1","0.968","1.928","5.263","2.221"
"Zbp1","0.968","1.928","5.263","2.221"
"Cited4","0.968","1.928","5.263","2.221"
"H6pd","0.968","1.928","5.263","2.221"
"Mtif3","0.968","1.928","5.263","2.221"
"Cftr","0.968","1.928","5.263","2.221"
"Lins1","0.968","1.928","5.263","2.221"
"Olfr294","0.968","1.928","5.263","2.221"
"Fto","0.968","1.928","5.263","2.221"
"Ska2","0.968","1.928","5.263","2.221"
