"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Ifi44","0.998","-3.272","2.387","-3.857"
"Enkur","0.998","-3.263","2.168","-3.528"
"Bloc1s1","0.998","-3.263","2.168","-3.528"
"Psmb10","0.998","-3.238","4.440","-2.726"
"Clic3","0.998","-3.231","4.345","-2.583"
"Naa20","0.998","-3.169","4.276","-2.479"
"Ssrp1","0.998","-3.168","3.104","-2.555"
"Kcnq1","0.998","3.161","3.280","2.497"
"Jag2","0.998","3.097","3.172","2.532"
"Rsad2","0.998","-3.089","4.105","-4.057"
"Hilpda","0.998","3.078","4.558","2.915"
"Teddm3","0.998","-3.076","5.794","-2.379"
"Inpp1","0.998","-3.073","1.490","-2.512"
"Lmod1","0.998","-3.073","1.490","-2.512"
"Apoa2","0.998","-3.073","1.490","-2.512"
"Akt3","0.998","-3.073","1.490","-2.512"
"Chst14","0.998","-3.073","1.490","-2.512"
"Esf1","0.998","-3.073","1.490","-2.512"
"Gucy1a1","0.998","-3.073","1.490","-2.512"
"Coq3","0.998","-3.073","3.075","-2.512"
"Rspo1","0.998","-3.073","1.490","-2.512"
"Sdad1","0.998","-3.073","1.490","-2.512"
"Zfp11","0.998","-3.073","1.490","-2.512"
"Gimap7","0.998","-3.073","1.490","-2.512"
"Tsen2","0.998","-3.073","1.490","-2.512"
"Nipa1","0.998","-3.073","1.490","-2.512"
"Tmc3","0.998","-3.073","1.490","-2.512"
"Trim30b","0.998","-3.073","1.490","-2.512"
"Nsmce1","0.998","-3.073","1.490","-2.512"
"Zfp764","0.998","-3.073","1.490","-2.512"
"Lsp1","0.998","-3.073","1.490","-2.512"
"Brf2","0.998","-3.073","1.490","-2.512"
"Fanca","0.998","-3.073","1.490","-2.512"
"Plod2","0.998","-3.073","1.490","-2.512"
"Pcbp4","0.998","-3.073","1.490","-2.512"
"Itga9","0.998","-3.073","1.490","-2.512"
"Bend3","0.998","-3.073","1.490","-2.512"
"Cfap410","0.998","-3.073","1.490","-2.512"
"Bcl11a","0.998","-3.073","1.490","-2.512"
"Cfap36","0.998","-3.073","1.490","-2.512"
"Hoxb4","0.998","-3.073","1.490","-2.512"
"Sphk1","0.998","-3.073","1.490","-2.512"
"Chrm3","0.998","-3.073","1.490","-2.512"
"Plau","0.998","-3.073","1.490","-2.512"
"Ccdc66","0.998","-3.073","1.490","-2.512"
"Bmp4","0.998","-3.073","1.490","-2.512"
"Acvrl1","0.998","-3.073","1.490","-2.512"
"Robo2","0.998","-3.073","1.490","-2.512"
"Zfp52","0.998","-3.073","1.490","-2.512"
"Cd320","0.998","-3.073","1.490","-2.512"
"Srfbp1","0.998","-3.073","1.490","-2.512"
"Sptbn2","0.998","-3.073","1.490","-2.512"
"Psat1","0.998","-3.073","1.490","-2.512"
"Kank1","0.998","-3.073","1.490","-2.512"
"Glod5","0.998","-3.073","1.490","-2.512"
"Col4a6","0.998","-3.073","1.490","-2.512"
"Rai2","0.998","-3.073","1.490","-2.512"
"Cbx7","0.998","3.054","3.252","2.412"
"Slfn4","0.998","-3.031","5.123","-3.206"
"Trim34a","0.998","-3.029","4.285","-2.493"
"Zc2hc1a","0.998","-2.991","2.099","-3.425"
"Nup107","0.998","-2.991","2.099","-3.425"
"Tmtc4","0.998","-2.991","2.099","-3.425"
"Eci3","0.998","-2.974","3.321","-2.881"
"Psmb3","0.998","-2.969","3.045","-2.467"
"Pck2","0.998","2.968","3.490","2.303"
"Il33","0.998","-2.958","4.782","-3.238"
"Parp2","0.998","-2.947","3.776","-2.458"
"Ccnj","0.998","2.940","3.222","2.322"
"Apol9a","0.998","-2.934","4.804","-3.272"
"Kctd12","0.998","2.901","3.774","2.395"
"Pi4k2b","0.998","-2.898","4.900","-2.437"
"Mb21d2","0.998","-2.858","3.632","-2.242"
"Parp14","0.998","-2.834","5.924","-2.196"
"Plat","0.998","2.831","5.406","2.384"
"H2-T24","0.998","-2.819","2.756","-4.411"
"Anp32e","0.998","2.816","3.607","2.241"
"Cldn7","0.998","2.816","3.607","2.241"
"H3f3b","0.998","-2.751","5.427","-2.286"
"Spsb1","0.998","-2.733","2.979","-2.367"
"Hikeshi","0.998","-2.733","2.979","-2.367"
"Enpp2","0.998","-2.733","2.979","-2.367"
"Apex2","0.998","-2.733","2.979","-2.367"
"Erfe","0.998","-2.733","1.394","-2.367"
"Ccdc187","0.998","-2.733","1.394","-2.367"
"Ier5l","0.998","-2.733","1.394","-2.367"
"Ttc21b","0.998","-2.733","1.394","-2.367"
"Syt13","0.998","-2.733","1.394","-2.367"
"Fibin","0.998","-2.733","1.394","-2.367"
"Hdc","0.998","-2.733","1.394","-2.367"
"Rbm8a","0.998","-2.733","1.394","-2.367"
"Ptger3","0.998","-2.733","1.394","-2.367"
"Ptprd","0.998","-2.733","1.394","-2.367"
"Fggy","0.998","-2.733","1.394","-2.367"
"Raver2","0.998","-2.733","1.394","-2.367"
"Lck","0.998","-2.733","1.394","-2.367"
"Nr0b2","0.998","-2.733","1.394","-2.367"
"Mad2l2","0.998","-2.733","1.394","-2.367"
"Actr3b","0.998","-2.733","1.394","-2.367"
"Pcdh7","0.998","-2.733","1.394","-2.367"
"Pdgfra","0.998","-2.733","1.394","-2.367"
"Sparcl1","0.998","-2.733","1.394","-2.367"
"Pus1","0.998","-2.733","1.394","-2.367"
"Bhlha15","0.998","-2.733","1.394","-2.367"
"Ogg1","0.998","-2.733","1.394","-2.367"
"Bicd1","0.998","-2.733","1.394","-2.367"
"Zfp383","0.998","-2.733","1.394","-2.367"
"Prss23","0.998","-2.733","1.394","-2.367"
"Arhgef17","0.998","-2.733","1.394","-2.367"
"Tdrp","0.998","-2.733","1.394","-2.367"
"Mcph1","0.998","-2.733","1.394","-2.367"
"Il15","0.998","-2.733","1.394","-2.367"
"Adgrl1","0.998","-2.733","1.394","-2.367"
