"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Bend5","0.798","3.841","3.271","2.756"
"Cc2d2a","0.798","3.841","3.271","2.756"
"Cntn3","0.798","3.841","3.271","2.756"
"Cd14","0.798","3.841","3.271","2.756"
"Ptges3l","0.803","3.829","3.455","3.610"
"Smtn","0.826","3.797","4.608","3.990"
"Slc5a1","0.850","3.766","2.938","4.897"
"Syne4","0.875","3.679","3.494","2.840"
"Cbx7","0.875","3.613","5.812","2.521"
"Ccn1","0.875","3.590","3.800","2.229"
"Letm2","0.875","3.565","3.618","2.351"
"Ift27","0.875","3.540","4.432","2.756"
"Sowaha","0.875","3.532","3.434","2.720"
"Arhgap9","0.875","3.529","3.434","2.720"
"Plau","0.875","3.529","3.434","2.720"
"Dynlt1f","0.875","3.529","3.434","2.720"
"Ankrd22","0.875","3.529","3.434","2.720"
"Shank2","0.875","3.505","3.903","3.368"
"Rassf5","0.875","3.479","2.938","2.575"
"Mfap1a","0.875","3.479","2.938","2.575"
"Ctbs","0.875","3.479","2.938","2.575"
"Clcn6","0.875","3.479","2.938","2.575"
"Tmem119","0.875","3.479","2.938","2.575"
"Nyap1","0.875","3.479","2.938","2.575"
"Lgals7","0.875","3.479","2.938","2.575"
"Siglecf","0.875","3.479","2.938","2.575"
"Relt","0.875","3.479","2.938","2.575"
"Spock3","0.875","3.479","2.938","2.575"
"Nkd1","0.875","3.479","2.938","2.575"
"Igsf9b","0.875","3.479","2.938","2.575"
"Tcf21","0.875","3.479","2.938","2.575"
"Ccdc162","0.875","3.479","2.938","2.575"
"Cep290","0.875","3.479","2.938","2.575"
"Nacad","0.875","3.479","2.938","2.575"
"Mapk7","0.875","3.479","2.938","2.575"
"Wfikkn2","0.875","3.479","2.938","2.575"
"Hexim2","0.875","3.479","2.938","2.575"
"Cdhr2","0.875","3.479","2.938","2.575"
"Ube2ql1","0.875","3.479","2.938","2.575"
"Ccdc122","0.875","3.479","2.938","2.575"
"Mdga1","0.875","3.479","2.938","2.575"
"Tmem216","0.875","3.479","2.938","2.575"
"Hectd2","0.875","3.479","2.938","2.575"
"Was","0.875","3.479","2.938","2.575"
"Xiap","0.875","3.479","2.938","2.575"
"Zfp341","0.875","3.474","3.180","2.575"
"Nkain4","0.875","3.474","3.180","2.575"
"Dclk1","0.875","3.474","3.180","2.575"
"Npr2","0.875","3.474","3.180","2.575"
"Adam1a","0.875","3.474","3.180","2.575"
"Nupr1l","0.875","3.474","3.180","2.575"
"Ccn2","0.875","3.474","3.180","2.575"
"Tmc8","0.875","3.474","3.180","2.575"
"Dok2","0.875","3.474","3.180","2.575"
"Zfat","0.875","3.474","3.180","2.575"
"Zfp35","0.875","3.474","3.180","2.575"
"Nap1l3","0.875","3.474","3.180","2.575"
"St8sia5","0.904","3.430","3.663","2.889"
"Dnaaf4","0.904","3.406","3.740","2.109"
"Slc25a14","0.904","3.406","3.740","2.109"
"Ppp1r26","0.904","3.372","3.942","3.736"
"Sirpa","0.904","3.349","3.891","2.048"
"Dab1","0.904","3.349","3.891","2.048"
"Cstad","0.904","3.314","3.362","2.575"
"Nim1k","0.904","3.314","3.362","2.575"
"Cdk6","0.904","3.311","3.362","2.575"
"Ptgs1","0.904","3.304","3.546","2.207"
"B3galt6","0.904","3.304","3.546","2.207"
"Zfp329","0.904","3.304","3.546","2.207"
