"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Rassf6","0.965","2.446","3.623","2.456"
"Pomk","0.965","2.446","3.623","2.456"
"Efcab9","0.965","2.446","3.623","2.456"
"Klhl3","0.965","2.446","3.623","2.456"
"Mss51","0.965","2.446","3.623","2.456"
"Polh","0.965","2.446","3.623","2.456"
"Rad9a","0.965","2.446","3.623","2.456"
"Apba1","0.965","2.446","3.623","2.456"
"Tmed7","0.965","-2.445","5.631","-2.008"
"Vkorc1l1","0.965","-2.444","5.265","-1.927"
"Pycrl","0.965","-2.444","5.265","-1.927"
"Trmt12","0.965","-2.440","4.721","-2.063"
"Dars","0.965","-2.435","5.470","-1.975"
"Rarg","0.965","2.416","5.114","1.977"
"Casc4","0.965","2.416","4.794","1.989"
"Klf5","0.965","-2.415","5.637","-2.020"
"Smap1","0.965","-2.415","4.020","-2.244"
"Fcer1g","0.965","-2.415","4.020","-2.244"
"Cdc42bpa","0.965","-2.415","4.020","-2.244"
"Urm1","0.965","-2.415","4.020","-2.244"
"Supv3l1","0.965","-2.415","4.020","-2.244"
"Irf2bpl","0.965","-2.415","4.020","-2.244"
"Crim1","0.965","-2.415","4.020","-2.244"
"Csf2ra","0.965","-2.415","4.020","-2.244"
"Wdr83os","0.965","-2.413","5.997","-2.112"
"Virma","0.965","-2.406","4.141","-2.487"
"Pycr2","0.965","-2.393","6.437","-2.324"
"Foxj3","0.965","2.386","5.122","1.994"
"Nek7","0.965","2.379","4.488","1.863"
"Lrrc57","0.965","2.379","4.488","1.863"
"Prmt6","0.965","2.379","4.488","1.863"
"Hace1","0.965","2.379","4.488","1.863"
"Fermt2","0.965","2.379","4.488","1.863"
"Pja1","0.965","2.379","4.488","1.863"
"Exosc4","0.965","2.378","3.572","2.352"
"Sdc3","0.965","-2.374","5.982","-2.082"
"Porcn","0.965","-2.373","5.737","-1.979"
"Cct3","0.965","-2.371","5.272","-1.941"
"Csk","0.965","-2.371","5.239","-1.875"
"Muc5ac","0.965","-2.370","7.754","-2.294"
"Bcl6","0.965","-2.368","4.645","-1.910"
"Arpc5","0.965","-2.365","4.654","-1.927"
"Pcgf3","0.965","-2.365","4.654","-1.927"
"Nckap1","0.965","-2.364","5.446","-1.927"
"Hist1h1e","0.965","-2.364","5.446","-1.927"
"Ppa2","0.965","2.351","4.945","1.928"
"Zfp963","0.965","-2.342","4.969","-1.820"
"Peli1","0.965","-2.342","4.969","-1.820"
"Fh1","0.965","2.335","5.138","2.026"
"Tob2","0.965","-2.335","5.129","-2.141"
"Unc50","0.965","2.333","5.214","1.937"
"Timm10b","0.965","-2.332","5.586","-1.918"
"Ak1","0.965","2.327","5.157","2.352"
"Akap7","0.965","2.323","5.118","2.274"
"Aldh7a1","0.965","-2.317","6.219","-2.119"
"Pbrm1","0.965","2.315","5.250","2.009"
"Ap2b1","0.965","-2.312","4.991","-1.865"
"Uqcrb","0.965","-2.312","4.991","-1.865"
"Ubr4","0.965","-2.306","5.719","-1.942"
"Slc33a1","0.965","-2.304","6.231","-2.144"
"Eme2","0.965","2.300","4.897","1.834"
"Kiz","0.965","-2.298","3.968","-2.141"
"Khk","0.965","-2.298","3.968","-2.141"
"Igsf23","0.965","-2.298","3.968","-2.141"
"Ccdc134","0.965","-2.298","3.968","-2.141"
"Mucl3","0.965","-2.297","6.520","-2.388"
"Fkbp9","0.965","-2.295","5.625","-1.996"
"Gsr","0.965","2.291","3.511","2.232"
"Rpusd1","0.965","2.291","3.511","2.232"
"Klhl15","0.965","2.291","3.511","2.232"
"Efcab14","0.965","-2.290","5.211","-1.820"
"Ppp2r5b","0.965","-2.290","5.211","-1.820"
"Ubxn2b","0.965","2.288","5.347","1.996"
"Usp39","0.965","2.285","4.141","1.906"
"Plekhg6","0.965","2.285","4.141","1.906"
"Pold1","0.965","2.285","4.141","1.906"
"Snapc2","0.965","2.285","4.141","1.906"
"Nt5m","0.965","2.285","4.141","1.906"
"Oplah","0.965","2.285","4.141","1.906"
"Zfp574","0.965","-2.273","4.670","-1.959"
"Fam220a.1","0.965","-2.263","4.020","-2.244"
"Tgfb1i1","0.965","-2.263","4.020","-2.244"
"Snrpf","0.965","-2.263","4.020","-2.244"
"Atg10","0.965","-2.263","4.020","-2.244"
"Mpv17l","0.965","-2.263","4.020","-2.244"
"Sec24d","0.965","-2.261","4.938","-1.760"
"Zdhhc18","0.965","-2.261","4.938","-1.760"
"Gemin7","0.965","-2.261","4.938","-1.760"
"Pcnt","0.965","-2.261","4.938","-1.760"
"Hlcs","0.965","-2.261","4.938","-1.760"
"H2-Ab1","0.965","-2.261","4.938","-1.760"
"Tmem14c","0.965","2.260","5.662","2.285"
"Lgr4","0.965","-2.259","4.600","-1.820"
"Ctss","0.965","-2.259","4.600","-1.820"
"Fnip1","0.965","-2.259","4.600","-1.820"
"Efr3a","0.965","-2.259","4.600","-1.820"
"Zfp407","0.965","-2.259","4.600","-1.820"
"S100a14","0.965","-2.259","5.275","-1.948"
"Sertad3","0.965","-2.235","4.141","-2.487"
"Irf9","0.965","-2.234","4.600","-1.820"
"Kat7","0.965","2.227","5.039","1.827"
"Dimt1","0.965","2.227","5.039","1.827"
"Mfn1","0.965","2.227","5.508","1.978"
"Trub1","0.965","2.225","4.670","1.741"
"Cdkn1c","0.965","-2.212","7.562","-2.016"
"Itgb1","0.965","-2.211","5.542","-1.830"
"Tns2","0.965","-2.209","5.598","-1.940"
"Ilf2","0.965","2.206","4.857","1.753"
"Proser3","0.965","2.206","4.857","1.753"
"Atxn3","0.965","2.206","4.857","1.753"
"Clybl","0.965","2.206","4.857","1.753"
"Vsig1","0.965","-2.206","5.167","-1.732"
"Impad1","0.965","-2.203","5.789","-1.875"
"Ier2","0.965","-2.201","5.181","-1.760"
"Lgals3","0.965","-2.196","4.570","-1.760"
"Fam174b","0.965","-2.195","6.319","-2.088"
"Lgals4","0.965","-2.193","5.563","-1.870"
"Emg1","0.965","2.192","6.118","1.773"
"Selenow","0.965","2.192","5.380","1.881"
"Gsdma2","0.965","-2.190","5.796","-1.889"
"Sc5d","0.965","2.181","4.721","1.844"
