"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Tyrobp","0.876","2.636","3.447","2.302"
"Ift88","0.876","2.636","3.447","2.302"
"Fam92a","0.876","2.633","3.014","3.312"
"Zkscan7","0.876","2.633","3.014","3.312"
"Eppk1","0.876","-2.622","8.837","-2.616"
"Tspan33","0.876","2.621","2.312","3.493"
"F10","0.876","2.621","2.312","3.493"
"Dnase1l3","0.876","2.621","2.312","3.493"
"Rem2","0.876","2.621","2.312","3.493"
"Rap2a","0.876","2.607","4.167","2.447"
"Tgm5","0.876","2.597","3.685","3.069"
"Muc2","0.876","2.595","3.543","2.254"
"Tent5b","0.876","-2.586","5.400","-2.393"
"Prmt7","0.876","2.584","4.063","3.088"
"Slc15a4","0.876","2.577","4.528","2.432"
"Tbl2","0.876","2.571","3.147","2.354"
"Hsd11b2","0.876","2.571","3.147","2.354"
"Apopt1","0.876","2.571","3.147","2.354"
"Mettl17","0.876","2.571","3.147","2.354"
"Fcgr2b","0.876","2.567","3.289","2.276"
"Uros","0.876","2.567","3.289","2.276"
"Pgghg","0.876","2.567","3.289","2.276"
"Vcpkmt","0.876","2.567","3.289","2.276"
"Cfp","0.876","2.567","3.289","2.276"
"Nexmif","0.876","2.567","3.289","2.276"
"Dph3","0.876","2.563","4.707","2.610"
"Arhgap35","0.876","2.560","3.863","2.507"
"Vrk2","0.876","2.557","3.383","3.312"
"Cd53","0.876","2.556","2.965","2.477"
"Car8","0.876","2.556","2.965","2.477"
"Zswim9","0.876","2.556","2.965","2.477"
"Itgax","0.876","2.556","2.965","2.477"
"Nek1","0.876","2.556","2.965","2.477"
"Nod2","0.876","2.556","2.965","2.477"
"Maml2","0.876","2.556","2.965","2.477"
"Cyp4f15","0.876","2.556","2.965","2.477"
"Hells","0.876","2.556","2.965","2.477"
"Slc20a1","0.876","2.553","4.099","2.422"
"Cep95","0.876","2.550","3.628","2.216"
"Ush1g","0.876","2.550","3.628","2.216"
"Aldob","0.876","2.549","3.407","2.222"
"Naa16","0.876","2.549","3.407","2.222"
"Tm4sf4","0.876","2.539","4.760","2.607"
"Rlf","0.876","2.539","4.193","2.395"
"Rbm12b2","0.876","2.534","4.445","2.628"
"Ankrd22","0.876","2.523","5.217","2.893"
"Mapk12","0.876","2.523","3.501","2.700"
"Tctn3","0.876","2.523","3.501","2.700"
"Dclk1","0.876","2.517","2.709","2.700"
"Slc5a9","0.876","2.517","2.709","2.700"
"Gpr27","0.876","2.517","2.709","2.700"
"Tuba8","0.876","2.517","2.709","2.700"
"Hp","0.876","2.517","2.709","2.700"
"Stra6","0.876","2.517","2.709","2.700"
"S1pr4","0.876","2.517","2.709","2.700"
"Eml6","0.876","2.517","2.709","2.700"
"Atad5","0.876","2.517","2.709","2.700"
"Nek4","0.876","2.517","2.709","2.700"
"Wdfy4","0.876","2.517","2.709","2.700"
"Csf2rb","0.876","2.517","2.709","2.700"
"Gbe1","0.876","2.517","2.709","2.700"
"Mdc1","0.876","2.517","2.709","2.700"
"Zdhhc2","0.876","2.504","3.703","2.186"
"Ncam1","0.876","2.500","2.497","3.861"
"Iqce","0.876","2.492","3.199","2.943"
"Rcc2","0.876","2.484","4.024","2.392"
"Appl1","0.876","2.483","4.465","2.588"
"Sfrp1","0.876","2.472","4.417","2.344"
"Dexi","0.876","2.462","4.383","2.590"
"Klhl2","0.876","2.457","4.644","2.374"
"Slc11a1","0.876","2.453","2.222","3.312"
"Procr","0.876","2.453","2.222","3.312"
"Pilrb2","0.876","2.453","2.222","3.312"
"Ccdc136","0.876","2.453","2.222","3.312"
"Olr1","0.876","2.453","2.222","3.312"
"Neto2","0.876","2.453","2.222","3.312"
"Slc9a5","0.876","2.453","2.222","3.312"
"Bcl2a1b","0.876","2.453","2.222","3.312"
"Ggt1","0.876","2.453","2.222","3.312"
"Plek","0.876","2.453","2.222","3.312"
"Dnal1","0.876","2.453","2.222","3.312"
"Mctp1","0.876","2.453","2.222","3.312"
"Tmem273","0.876","2.453","2.222","3.312"
"Dnajb7","0.876","2.453","2.222","3.312"
"Shank3","0.876","2.453","2.222","3.312"
"Krt84","0.876","2.453","2.222","3.312"
"Btnl1","0.876","2.453","2.222","3.312"
"Mep1b","0.876","2.453","2.222","3.312"
"Arhgap19","0.876","2.453","2.222","3.312"
"Capn6","0.876","2.453","2.222","3.312"
"Tax1bp3","0.876","-2.452","5.803","-2.134"
"Golga3","0.876","2.452","5.019","2.276"
"Cwf19l2","0.876","2.451","4.555","2.552"
"Acta2","0.876","2.450","3.857","2.189"
"Wdr77","0.876","2.448","3.673","2.126"
"Fabp1","0.876","2.448","3.673","2.126"
"Tnfrsf11b","0.876","2.446","5.508","3.314"
"Pkhd1","0.876","2.444","3.362","2.132"
"Alg2","0.876","2.444","3.362","2.132"
"Plekho2","0.876","2.444","3.362","2.132"
"Immp2l","0.876","2.444","3.362","2.132"
"Gnl3","0.876","2.444","3.362","2.132"
"Parp11","0.876","2.442","3.238","2.173"
"Isoc2a","0.876","2.442","3.238","2.173"
"Pcca","0.876","2.442","3.238","2.173"
"Lypd3","0.876","-2.435","6.138","-2.199"
"Gnpda2","0.876","2.432","3.467","2.101"
"Ephb4","0.876","2.432","3.467","2.101"
"Cdkal1","0.876","2.432","3.467","2.101"
"Cox6b1","0.876","-2.427","7.402","-2.779"
"Nat10","0.876","2.421","3.087","2.234"
"Arhgef26","0.876","2.421","3.087","2.234"
"Focad","0.876","2.421","3.087","2.234"
"Grik5","0.876","2.421","3.087","2.234"
"Rpusd4","0.876","2.421","3.087","2.234"
"Tspyl4","0.876","2.421","3.087","2.234"
"Ccdc157","0.876","2.421","3.087","2.234"
"Stab1","0.876","2.421","3.087","2.234"
"Nckap1l","0.876","2.421","3.087","2.234"
"Cnnm3","0.876","2.416","4.153","2.315"
"Alkbh1","0.876","2.416","4.153","2.315"
"Des","0.876","2.415","3.574","2.556"
"Stx18","0.876","2.413","4.239","2.302"
"Trim62","0.876","2.411","4.054","2.332"
"Myo19","0.876","2.411","4.054","2.332"
"Polr3a","0.876","2.411","4.054","2.332"
"Qtrt1","0.876","2.408","3.743","2.106"
"Timp2","0.876","2.407","4.572","2.519"
"Ipo5","0.876","2.404","4.338","2.500"
"Abhd17a","0.876","-2.398","6.205","-2.253"
"Zfp444","0.876","2.395","3.939","2.354"
"Runx2","0.876","2.394","4.549","2.293"
"Ube2s","0.876","2.389","4.387","2.283"
"Cysrt1","0.876","-2.389","5.871","-2.151"
"Prkn","0.876","2.384","3.640","2.060"
"Zfp52","0.876","2.384","3.640","2.060"
"Tmem37","0.876","2.375","2.893","2.332"
"Spi1","0.876","2.375","2.893","2.332"
"Cdkn2a","0.876","2.375","2.893","2.332"
"Lonrf1","0.876","2.375","2.893","2.332"
"Fanca","0.876","2.375","2.893","2.332"
"Mmp19","0.876","2.375","2.893","2.332"
"Stk10","0.876","2.375","2.893","2.332"
"Mfap4","0.876","2.375","2.893","2.332"
"Tada2a","0.876","2.375","2.893","2.332"
"Adam4","0.876","2.375","2.893","2.332"
"Heatr1","0.876","2.375","2.893","2.332"
"Dbn1","0.876","2.375","2.893","2.332"
"Etv5","0.876","2.375","2.893","2.332"
"Kremen2","0.876","2.375","2.893","2.332"
"Slc8a1","0.876","2.375","2.893","2.332"
"Rbm4b","0.876","2.375","2.893","2.332"
"Cdca5","0.876","2.375","2.893","2.332"
"Tmem132a","0.876","2.375","2.893","2.332"
"Sfn","0.876","-2.372","10.058","-2.079"
"Slc16a11","0.876","2.372","4.450","2.276"
"Rab12","0.876","2.368","3.807","2.089"
"Thbs1","0.876","2.365","3.803","2.386"
"Tmem43","0.876","-2.364","7.701","-2.954"
"Tram2","0.876","2.362","3.320","2.700"
"Tmem150a","0.876","2.362","3.320","2.700"
"Hdhd5","0.876","2.362","3.320","2.700"
"Ddhd2","0.876","2.362","3.320","2.700"
"Loxl1","0.876","2.362","3.320","2.700"
"Cep162","0.876","2.362","3.320","2.700"
"Zkscan8","0.876","2.362","3.320","2.700"
"Mphosph8","0.876","2.354","4.261","2.260"
"Tgm2","0.876","2.353","7.412","2.895"
"Rcc1","0.876","2.353","4.177","2.267"
"Cul5","0.876","2.349","4.583","2.677"
"Kctd11","0.876","-2.349","6.707","-2.357"
"Scnm1","0.876","2.339","4.404","2.249"
"Clcn7","0.876","2.332","4.876","2.471"
"Krr1","0.876","2.328","4.063","2.602"
"Setd7","0.876","2.327","3.422","2.011"
"Pik3cd","0.876","2.327","3.422","2.011"
"Ncf1","0.876","2.327","3.422","2.011"
"Nup205","0.876","2.327","3.422","2.011"
"Lyl1","0.876","2.327","3.422","2.011"
"Etaa1","0.876","2.327","3.422","2.011"
"Mtcp1","0.876","2.327","3.422","2.011"
"Brd2","0.876","2.323","6.410","2.127"
"Naa35","0.876","2.323","4.338","2.500"
"Blvra","0.876","2.322","3.519","1.998"
"Ccdc149","0.876","2.322","3.519","1.998"
"Glrx3","0.876","2.321","3.972","2.289"
"Cinp","0.876","2.321","3.972","2.289"
"Lgals3","0.876","-2.319","10.187","-2.172"
"Btbd2","0.876","2.319","3.779","2.034"
"Tsga10","0.876","2.317","3.310","2.028"
"Iqcc","0.876","2.317","3.310","2.028"
"Mtg1","0.876","2.317","3.310","2.028"
"Tmem29","0.876","2.317","3.310","2.028"
"Il18rap","0.876","2.315","3.634","2.435"
"Ly75","0.876","2.315","3.634","2.435"
"Rgs10","0.876","2.315","3.634","2.435"
"Ethe1","0.876","-2.314","7.079","-2.551"
"Zfp788","0.876","2.313","2.893","3.069"
"Abca8a","0.876","2.313","2.893","3.069"
"Tmem63c","0.876","2.313","2.893","3.069"
"Rpp40","0.876","2.313","2.893","3.069"
"Psat1","0.876","2.313","2.893","3.069"
"Ccl25","0.876","2.311","4.054","3.069"
"Acer2","0.876","2.308","3.604","1.988"
"Ttyh3","0.876","2.308","3.604","1.988"
"Tia1","0.876","2.305","5.097","2.120"
"Vwa3b","0.876","2.303","2.618","2.519"
"Ttc21b","0.876","2.303","2.618","2.519"
"Bbs5","0.876","2.303","2.618","2.519"
"Adal","0.876","2.303","2.618","2.519"
"Slc4a11","0.876","2.303","2.618","2.519"
"S100a9","0.876","2.303","2.618","2.519"
"Clca4b","0.876","2.303","2.618","2.519"
"Dnajb5","0.876","2.303","2.618","2.519"
"Cntln","0.876","2.303","2.618","2.519"
"Gpr153","0.876","2.303","2.618","2.519"
"Noa1","0.876","2.303","2.618","2.519"
"Stx1a","0.876","2.303","2.618","2.519"
"Slc13a1","0.876","2.303","2.618","2.519"
"Gimap4","0.876","2.303","2.618","2.519"
"Clec4n","0.876","2.303","2.618","2.519"
"Rexo5","0.876","2.303","2.618","2.519"
"Prss53","0.876","2.303","2.618","2.519"
"Txnl4b","0.876","2.303","2.618","2.519"
"Cfap36","0.876","2.303","2.618","2.519"
"Tbkbp1","0.876","2.303","2.618","2.519"
"Arg2","0.876","2.303","2.618","2.519"
"Fam227a","0.876","2.303","2.618","2.519"
"Nit2","0.876","2.303","2.618","2.519"
"Zfp760","0.876","2.303","2.618","2.519"
"Six2","0.876","2.303","2.618","2.519"
"Greb1l","0.876","2.303","2.618","2.519"
"Tubb6","0.876","2.303","2.618","2.519"
"Snx32","0.876","2.303","2.618","2.519"
"Trim14","0.876","2.300","6.052","2.080"
"Cops7b","0.876","2.299","4.281","2.220"
"Tfam","0.876","2.299","4.281","2.220"
"Pltp","0.876","2.293","4.199","2.222"
"Bcl9","0.876","2.293","4.199","2.222"
"Igha","0.876","2.292","7.028","2.517"
"Mlxipl","0.876","2.292","3.289","3.861"
"Mafb","0.876","2.288","3.177","2.053"
"Rtel1","0.876","2.288","3.177","2.053"
"Six5","0.876","2.288","3.177","2.053"
"E2f6","0.876","2.288","3.177","2.053"
"Ttll5","0.876","2.288","3.177","2.053"
"Harbi1","0.876","2.287","3.680","1.980"
"Card14","0.876","2.284","3.840","2.024"
"Synj2bp","0.876","2.273","5.896","2.108"
"Dpagt1","0.876","2.267","4.537","2.214"
"Rrs1","0.876","2.251","4.002","2.229"
"Afap1","0.876","2.251","4.002","2.229"
"Cltb","0.876","-2.250","7.521","-2.693"
"Apoa4","0.876","2.249","3.895","2.015"
"Tsr3","0.876","2.249","3.895","2.015"
"Tm2d3","0.876","2.249","4.371","2.183"
"Wdr83","0.876","2.246","4.300","2.182"
"Akp3","0.876","2.245","4.555","2.552"
"Oaf","0.876","2.244","3.411","2.519"
"Tuba1c","0.876","-2.236","7.971","-2.134"
"Inpp5d","0.876","2.232","3.014","2.089"
"Serpini1","0.876","2.232","3.014","2.089"
"Ifne","0.876","2.232","3.014","2.089"
"Csf3r","0.876","2.232","3.014","2.089"
"Cd52","0.876","2.232","3.014","2.089"
"Zfp991","0.876","2.232","3.014","2.089"
