"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Polr2j","0.263","-3.232","7.746e-02","-0.162"
"Sdc1","0.265","-3.227","1.217","-0.535"
"Slc9a2","0.267","-3.221","0.711","-0.443"
"Sult1c2","0.267","-3.219","1.363","-0.600"
"Parp9","0.275","-3.207","9.372e-02","-0.182"
"Zfp111","0.276","-3.200","8.113e-02","-0.173"
"Tars","0.276","-3.199","0.447","-0.368"
"Myh14","0.276","3.198","1.323","0.577"
"Atp6v0c","0.281","-3.190","0.244","-0.271"
"Adamts15","0.285","-3.183","0.265","-0.326"
"Edrf1","0.288","-3.176","9.570e-02","-0.184"
"Hs6st1","0.288","-3.175","0.382","-0.333"
"Ulk1","0.289","-3.169","0.195","-0.279"
"Ddx60","0.289","-3.169","0.292","-0.397"
"Snta1","0.290","-3.165","7.877e-02","-0.180"
"Stat5b","0.298","-3.155","0.164","-0.219"
"Hs3st3b1","0.310","-3.137","1.304","-0.595"
"Mrtfa","0.310","-3.137","0.456","-0.392"
"Srsf2","0.319","-3.126","0.682","-0.471"
"Tfg","0.321","-3.121","0.175","-0.235"
"Atp5b","0.333","-3.107","0.549","-0.423"
"Tgm2","0.333","3.105","0.244","0.360"
"Gnb2","0.339","-3.095","0.429","-0.369"
"Sympk","0.339","-3.094","0.360","-0.335"
"Gpkow","0.341","-3.090","0.109","-0.202"
"Meis3","0.342","3.087","0.129","0.206"
"B4galnt3","0.343","-3.083","0.868","-0.573"
"Pkm","0.345","-3.080","0.533","-0.398"
"Rere","0.348","-3.075","0.424","-0.362"
"Atf3","0.353","3.066","0.506","0.530"
"Kcnk10","0.353","-3.065","0.734","-0.472"
"Fkbp9","0.359","-3.058","0.261","-0.286"
"P2rx4","0.359","-3.056","0.540","-0.438"
"Klhl42","0.371","-3.041","6.812e-02","-0.162"
"Tmem30b","0.371","-3.040","0.869","-0.458"
"Clcn4","0.372","-3.037","0.165","-0.213"
"Mlec","0.373","-3.032","0.858","-0.461"
"Cox10","0.373","-3.032","0.139","-0.207"
"Uap1","0.374","-3.028","1.033","-0.533"
"Sulf2","0.374","-3.026","0.289","-0.313"
"Dctn1","0.374","-3.025","0.426","-0.340"
"Rnpepl1","0.376","-3.021","0.901","-0.427"
"Fbxo33","0.376","-3.019","7.197e-02","-0.157"
"Wapl","0.380","-3.014","0.459","-0.367"
"Psapl1","0.380","3.009","1.679","0.740"
"Parp12","0.380","-3.008","0.262","-0.327"
"Kansl2","0.380","-3.008","0.216","-0.280"
"Xpo6","0.383","-3.001","0.393","-0.323"
"Aagab","0.383","-3.001","0.447","-0.374"
"Nipal1","0.392","2.992","0.210","0.268"
"Ucp2","0.400","-2.978","2.823","-0.572"
"Ralgapa1","0.400","-2.977","0.163","-0.219"
"Mecom","0.400","-2.975","1.333","-0.557"
"Kif1c","0.400","-2.975","0.814","-0.406"
"Fyco1","0.400","-2.974","0.307","-0.343"
"Tnks1bp1","0.400","-2.972","1.135","-0.466"
"Suclg2","0.400","-2.971","0.150","-0.185"
"Oxr1","0.401","-2.965","0.286","-0.301"
"Cbr1","0.401","-2.964","0.858","-0.435"
"Ipo4","0.401","-2.962","0.118","-0.229"
"Hspa8","0.401","-2.961","0.638","-0.412"
"Eml2","0.401","-2.960","0.142","-0.211"
"Shisa5","0.401","-2.959","0.667","-0.392"
"Ugp2","0.407","-2.952","0.289","-0.304"
"Bst2","0.407","-2.950","0.238","-0.326"
"Avil","0.407","2.947","1.647","0.529"
"Gata4","0.407","-2.944","0.642","-0.419"
"Rxra","0.407","-2.943","0.347","-0.306"
"Fam83c","0.407","-2.943","0.176","-0.257"
"Ddost","0.414","-2.932","0.597","-0.387"
"Gopc","0.414","-2.927","0.144","-0.198"
"Eps8l3","0.414","2.926","1.000","0.491"
"Nono","0.414","-2.924","0.423","-0.360"
"Prpsap1","0.414","-2.924","0.324","-0.288"
"Zbtb1","0.414","-2.921","0.159","-0.220"
"Zfp523","0.414","-2.920","9.635e-02","-0.215"
"Phf2","0.414","-2.920","0.142","-0.191"
"Fam43a","0.414","-2.920","0.452","-0.360"
"Akr1c12","0.414","-2.919","0.214","-0.248"
"Adh7","0.427","-2.908","0.901","-0.513"
"Wsb1","0.427","2.905","0.165","0.217"
"Ube2q1","0.428","-2.903","0.242","-0.273"
"Arhgap39","0.428","-2.899","0.197","-0.252"
"Mlf2","0.428","-2.899","0.620","-0.390"
"Insig2","0.428","2.898","0.411","0.367"
"Nlrc5","0.432","-2.894","8.460e-02","-0.181"
"Ankrd13a","0.432","-2.891","0.384","-0.312"
"Ly6d","0.432","2.890","0.515","0.439"
"Wdr92","0.433","-2.884","6.406e-02","-0.145"
"Baiap2l1","0.433","2.883","1.430","0.516"
"Supt3","0.433","-2.883","0.117","-0.199"
"Dock7","0.433","-2.880","0.638","-0.380"
"Rasgef1b","0.433","2.880","1.367","0.538"
"Phlda1","0.433","2.879","0.784","0.475"
"Pxmp4","0.433","-2.878","8.729e-02","-0.153"
"Ddx58","0.435","-2.875","8.443e-02","-0.155"
"Cfi","0.444","-2.866","0.198","-0.244"
"Ccar2","0.445","-2.863","0.364","-0.318"
"Rnf130","0.445","-2.862","0.206","-0.255"
"Alg10b","0.445","-2.861","0.136","-0.191"
"AA467197","0.445","2.857","1.459","0.634"
"Mipep","0.445","-2.851","0.179","-0.249"
"Prrc2b","0.445","-2.850","0.355","-0.282"
"Rcor3","0.445","-2.849","0.206","-0.231"
"Spag9","0.445","2.849","0.647","0.467"
"Ftsj1","0.445","-2.848","6.531e-02","-0.148"
"Eif3i","0.445","-2.848","0.164","-0.201"
"Ercc4","0.445","-2.847","5.382e-02","-0.128"
"Pdcd6ip","0.445","-2.847","0.706","-0.394"
"Fuca1","0.454","2.838","1.239","0.484"
"Lgals2","0.454","-2.836","1.424","-0.653"
"Ttc1","0.466","-2.826","0.189","-0.229"
"Frs2","0.471","-2.820","0.211","-0.242"
"Dtx4","0.471","-2.820","0.203","-0.248"
"Ssb","0.471","-2.818","0.463","-0.361"
"Xxylt1","0.471","-2.814","7.525e-02","-0.144"
