"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Ppfibp2","6.521e-06","5.803","0.809","0.632"
"Cybrd1","6.651e-06","-5.797","2.134","-1.147"
"Vegfa","7.716e-06","5.765","0.616","0.634"
"Helz2","8.755e-06","-5.737","0.932","-0.623"
"Pip4k2c","8.755e-06","-5.735","0.445","-0.365"
"Gkn2","8.876e-06","-5.731","6.217","-0.820"
"Zc3h12a","8.923e-06","5.728","0.659","0.668"
"Tspan13","8.954e-06","-5.725","1.105","-0.568"
"Dok4","9.171e-06","-5.718","0.535","-0.425"
"Atp4b","9.573e-06","-5.708","0.557","-0.452"
"Paqr4","9.957e-06","-5.698","0.514","-0.434"
"Gcnt3","1.028e-05","-5.690","2.228","-0.586"
"Psapl1","1.114e-05","-5.671","2.920","-1.098"
"Arpc5","1.124e-05","-5.668","0.799","-0.478"
"Tuba1c","1.256e-05","-5.643","1.105","-0.625"
"Ldha","1.269e-05","-5.639","1.928","-0.722"
"Dsp","1.275e-05","-5.636","2.039","-0.692"
"Cd82","1.335e-05","-5.625","1.860","-0.564"
"Ddx17","1.344e-05","5.622","0.898","0.664"
"Tax1bp3","1.520e-05","-5.594","0.317","-0.344"
"Camk2d","1.520e-05","5.593","1.106","0.548"
"Capn5","1.533e-05","5.589","2.478","0.490"
"Pfkfb3","1.533e-05","5.588","0.284","0.569"
"Rhod","1.600e-05","-5.577","0.966","-0.578"
"Ube2v1","1.600e-05","-5.576","1.027","-0.545"
"Lgals9","1.621e-05","-5.571","2.212","-0.667"
"Ywhab","1.640e-05","-5.567","0.575","-0.405"
"Spdef","1.720e-05","5.556","0.450","0.609"
"Pigr","1.760e-05","5.549","0.538","0.801"
"Tmbim6","2.360e-05","-5.486","1.209","-0.538"
"Tmem189","2.479e-05","-5.474","1.885","-0.589"
"Cox5a","2.506e-05","-5.470","0.866","-0.501"
"Evpl","2.617e-05","-5.459","1.022","-0.590"
"Omp","2.633e-05","5.457","1.260","0.727"
"Mmp15","2.840e-05","-5.439","1.716","-0.590"
"Gabbr1","2.925e-05","5.431","0.411","0.515"
"Acaa2","3.666e-05","-5.381","0.426","-0.362"
"mt-Nd2","3.822e-05","5.371","0.516","0.552"
"Mucl3","4.279e-05","-5.345","3.809","-0.647"
"mt-Nd3","4.671e-05","5.324","0.358","0.490"
"Mprip","4.690e-05","5.322","2.211","0.564"
"Tpm4","4.900e-05","-5.311","0.555","-0.413"
"Sf3b1","4.963e-05","5.307","0.778","0.557"
"S100a10","5.508e-05","-5.283","1.449","-0.687"
"Cltb","5.515e-05","-5.281","1.118","-0.554"
"Tmem238l","6.159e-05","-5.256","1.156","-0.599"
"Eif6","6.172e-05","-5.254","0.959","-0.522"
"Anxa2","6.189e-05","-5.252","2.158","-0.589"
"Tap1","6.268e-05","-5.248","0.510","-0.491"
"Rab5c","6.361e-05","-5.243","0.410","-0.333"
"App","6.863e-05","-5.225","1.623","-0.597"
"Sprr2a3","6.867e-05","-5.224","2.395","-0.860"
"Gde1","7.272e-05","-5.210","0.950","-0.480"
"Sfn","7.523e-05","-5.201","2.012","-0.741"
"U2af2","8.254e-05","5.179","0.570","0.462"
"Mal2","9.035e-05","5.158","1.550","0.629"
"Arglu1","9.461e-05","5.146","0.661","0.541"
"Por","9.461e-05","-5.144","1.037","-0.531"
"Plekha7","9.461e-05","5.144","1.143","0.618"
"Tle5","9.847e-05","-5.134","0.702","-0.441"
"Carhsp1","1.035e-04","-5.121","0.560","-0.422"
"Ubxn1","1.101e-04","-5.106","0.994","-0.528"
"Smim24","1.126e-04","-5.100","1.304","-0.607"
"Atp11b","1.213e-04","5.082","0.593","0.467"
"Gse1","1.224e-04","-5.079","0.523","-0.370"
"Abhd5","1.237e-04","-5.075","0.395","-0.346"
"Cast","1.399e-04","-5.045","1.070","-0.514"
"Trim40","1.399e-04","5.045","0.336","0.581"
"Pld3","1.405e-04","-5.043","0.737","-0.451"
"Aldh2","1.422e-04","-5.039","1.200","-0.515"
"Myh14","1.434e-04","-5.036","2.423","-0.478"
"Tmsb10","1.521e-04","-5.021","1.698","-0.612"
"Got1","1.550e-04","-5.015","0.420","-0.350"
"Nacc1","1.550e-04","-5.015","0.263","-0.262"
"Stard10","1.611e-04","-5.005","1.271","-0.541"
"Sox21","1.647e-04","-4.997","0.647","-0.452"
"Wwc1","1.647e-04","-4.997","0.915","-0.434"
"Unc5b","1.647e-04","-4.996","0.959","-0.535"
"Slc25a5","1.701e-04","-4.988","0.195","-0.223"
"Abhd2","1.710e-04","-4.985","1.891","-0.556"
"Epop","1.793e-04","-4.973","1.243","-0.720"
"Rnf10","1.811e-04","-4.970","0.966","-0.492"
"B2m","1.811e-04","-4.969","0.428","-0.405"
"Tmem184b","1.836e-04","-4.965","0.339","-0.319"
"Snx29","1.984e-04","4.946","0.317","0.392"
"Dyrk2","2.100e-04","-4.932","0.828","-0.443"
"Sertad1","2.114e-04","-4.929","0.666","-0.432"
"Sowahb","2.148e-04","-4.924","0.490","-0.389"
"Prpf39","2.149e-04","4.923","0.299","0.416"
"Adam28","2.214e-04","4.915","1.034","0.570"
"Parm1","2.229e-04","-4.912","1.856","-0.567"
"Pon2","2.229e-04","-4.911","0.988","-0.505"
"Gsto1","2.260e-04","-4.907","3.700","-0.741"
"Btg2","2.276e-04","4.904","2.020","0.594"
"Sgsm3","2.329e-04","4.898","0.808","0.550"
"Stk25","2.433e-04","4.886","2.814","0.516"
"Sh3bp1","2.433e-04","-4.886","0.281","-0.311"
"Reep5","2.576e-04","-4.872","0.803","-0.442"
"Kif1c","2.582e-04","-4.870","1.137","-0.480"
"Fau","2.805e-04","-4.850","1.209","-0.518"
"Sult1d1","2.904e-04","-4.840","0.879","-0.482"
