"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Phc2","0.333","-3.169","0.476","-0.365"
"Vars","0.334","-3.162","0.640","-0.389"
"Saraf","0.334","-3.161","1.300","-0.561"
"Atxn7","0.334","-3.160","0.343","-0.282"
"Limd1","0.334","-3.157","0.644","-0.413"
"Herc3","0.335","-3.147","1.033","-0.467"
"Ppp2ca","0.335","-3.145","0.694","-0.446"
"Uba1","0.335","-3.144","0.936","-0.499"
"Rab11fip1","0.335","-3.143","0.917","-0.463"
"Tmem8","0.335","-3.143","1.335","-0.505"
"Iqgap2","0.335","-3.137","0.808","-0.463"
"Vcp","0.335","-3.135","1.413","-0.521"
"Mgat2","0.335","-3.134","0.591","-0.449"
"Fa2h","0.335","-3.131","2.334","-0.600"
"Stard7","0.335","3.122","0.814","0.497"
"Sort1","0.335","-3.119","0.724","-0.415"
"Cant1","0.335","-3.115","0.613","-0.422"
"Rcan1","0.335","-3.114","0.480","-0.380"
"Tmem115","0.335","-3.113","0.483","-0.339"
"Lactb2","0.335","-3.112","0.368","-0.292"
"Retsat","0.335","-3.112","0.934","-0.478"
"Slc35f6","0.335","-3.112","0.349","-0.297"
"Aurkaip1","0.335","-3.110","0.708","-0.425"
"Ifngr2","0.335","-3.109","0.231","-0.263"
"Pdia2","0.338","-3.104","2.640","-0.577"
"Tuba1c","0.338","-3.100","0.714","-0.441"
"Gde1","0.338","-3.098","1.872","-0.611"
"Fndc3a","0.338","-3.097","0.286","-0.274"
"H2-Q6","0.338","-3.096","0.256","-0.309"
"Calr","0.339","-3.092","0.643","-0.378"
"Cmtm4","0.339","-3.090","0.527","-0.384"
"Slc25a22","0.347","-3.080","0.368","-0.316"
"Lsr","0.348","-3.073","1.044","-0.481"
"Ndst1","0.348","-3.073","0.926","-0.487"
"Arhgef5","0.348","-3.073","0.197","-0.227"
"Gatad2a","0.353","-3.062","0.575","-0.382"
"Shisa5","0.353","-3.061","0.432","-0.347"
"Tmem42","0.353","-3.056","0.415","-0.306"
"Ssh1","0.353","-3.056","0.189","-0.221"
"Ndfip2","0.353","-3.053","0.164","-0.193"
"Ankrd40","0.353","-3.053","0.721","-0.438"
"Tes","0.353","-3.049","0.367","-0.278"
"H1f0","0.353","-3.048","0.829","-0.471"
"P4ha2","0.353","-3.047","1.187","-0.614"
"Pdgfa","0.353","-3.047","0.650","-0.389"
"Ppp4r2","0.357","-3.041","0.245","-0.220"
"Asb6","0.361","-3.036","0.278","-0.283"
"Bmpr2","0.361","-3.034","0.339","-0.286"
"Pde8a","0.361","-3.032","0.436","-0.337"
"Ift27","0.361","3.024","6.720e-02","0.148"
"Fitm2","0.361","-3.020","0.352","-0.260"
"Prpf39","0.361","-3.020","0.429","-0.361"
"Surf4","0.361","-3.019","0.787","-0.438"
"Rnf213","0.361","-3.019","0.229","-0.256"
"Hyou1","0.361","-3.019","0.838","-0.446"
"Tmx1","0.361","-3.018","0.713","-0.404"
"Ccdc174","0.364","-3.014","0.138","-0.177"
"Psca","0.366","-3.010","4.324","-0.414"
"Sec62","0.372","-3.002","0.794","-0.391"
"Tmem139","0.375","-2.998","0.331","-0.349"
"Atp8b1","0.385","-2.984","0.770","-0.417"
"Wasl","0.385","-2.981","0.468","-0.313"
"Uqcrq","0.385","-2.980","1.088","-0.518"
"Smad9","0.385","-2.979","0.434","-0.380"
"Slc38a2","0.385","-2.979","1.098","-0.492"
"Ylpm1","0.385","-2.978","0.303","-0.303"
"Mid1ip1","0.385","-2.976","1.304","-0.506"
"Zfp579","0.386","-2.973","0.471","-0.306"
"Abhd2","0.397","-2.962","1.809","-0.548"
"Maml1","0.402","-2.953","0.131","-0.167"
"Brms1l","0.402","2.953","0.592","0.445"
"Rdh10","0.402","-2.950","0.530","-0.331"
"Mex3d","0.402","-2.947","0.187","-0.224"
"Irf7","0.402","-2.946","0.232","-0.308"
"Ggcx","0.402","-2.946","0.305","-0.268"
"B3gntl1","0.402","2.944","0.142","0.275"
"AU040320","0.402","-2.943","0.391","-0.325"
"Leprot","0.402","-2.941","0.239","-0.230"
"Rnf10","0.402","-2.937","1.063","-0.456"
"Gpr155","0.402","-2.936","0.959","-0.514"
"Ltf","0.402","2.936","5.121e-02","0.160"
"Tmbim6","0.403","-2.933","1.643","-0.550"
"Coa3","0.403","-2.931","0.939","-0.426"
"Cpsf7","0.403","-2.927","0.314","-0.278"
"Arl6ip6","0.403","-2.927","0.172","-0.194"
"Igha","0.403","2.926","0.447","0.376"
"Rnf215","0.403","-2.925","0.605","-0.363"
"Parp10","0.403","-2.924","0.223","-0.218"
"Apmap","0.404","-2.922","0.455","-0.328"
"Id2","0.405","-2.916","1.382","-0.698"
"Rorc","0.405","2.916","0.521","0.411"
"Dnajb6","0.405","-2.916","0.438","-0.308"
"Ubn2","0.407","-2.910","0.283","-0.281"
"Tmem33","0.407","-2.908","0.614","-0.417"
"Bag1","0.407","-2.907","1.093","-0.468"
"Pon3","0.407","-2.905","0.407","-0.312"
"Larp1","0.407","-2.903","0.663","-0.356"
"Pmepa1","0.407","-2.900","0.486","-0.356"
"Liph","0.407","-2.898","0.214","-0.217"
"Arpc2","0.407","-2.897","0.190","-0.204"
"Elf2","0.407","-2.896","0.349","-0.287"
"Clcn7","0.407","-2.896","0.390","-0.324"
"Jak1","0.407","-2.895","0.263","-0.248"
"Eps15","0.407","-2.895","0.293","-0.261"
"Rer1","0.407","-2.893","0.742","-0.408"
"Dhrs3","0.407","-2.891","1.409","-0.442"
