"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Atp6ap2","5.486e-02","-3.807","0.163","-0.493"
"Spink5","5.486e-02","-3.798","0.144","-0.624"
"Hmbs","5.486e-02","-3.797","0.109","-0.486"
"Dlg3","5.486e-02","-3.795","8.419e-02","-0.362"
"Rb1cc1","5.486e-02","-3.793","0.136","-0.498"
"Gpx1","5.486e-02","-3.793","0.275","-0.715"
"Mall","5.486e-02","-3.793","6.646e-02","-0.399"
"Tacstd2","5.692e-02","-3.778","0.191","-0.629"
"Clps","5.692e-02","-3.771","2.019","-1.981"
"Ppm1l","5.692e-02","-3.768","0.149","-0.594"
"Elovl7","5.692e-02","-3.767","0.189","-0.580"
"Smpd2","5.692e-02","-3.767","0.116","-0.429"
"Acsbg1","5.692e-02","-3.766","0.177","-0.650"
"Snx3","5.723e-02","-3.760","0.146","-0.555"
"Car12","5.723e-02","-3.759","0.184","-0.722"
"Gsta4","5.760e-02","-3.752","0.855","-1.312"
"Son","5.760e-02","-3.752","0.546","-1.022"
"Sh3bgrl2","5.810e-02","-3.747","0.398","-0.805"
"Mt4","5.839e-02","-3.743","0.458","-1.364"
"Pgc","5.888e-02","-3.738","2.490","-2.151"
"Wapl","5.934e-02","-3.733","0.257","-0.651"
"Supt6","6.073e-02","-3.724","0.277","-0.655"
"Tgm1","6.212e-02","-3.715","0.142","-0.526"
"Ephb6","6.266e-02","-3.707","0.161","-0.586"
"Barx2","6.266e-02","-3.705","0.304","-0.771"
"Pgd","6.266e-02","-3.705","0.246","-0.685"
"Gjb2","6.284e-02","-3.702","0.258","-0.804"
"Ncaph2","6.441e-02","-3.692","9.198e-02","-0.367"
"Lin9","6.699e-02","-3.675","5.112e-02","-0.307"
"Zfp651","6.699e-02","-3.675","5.112e-02","-0.307"
"Ankrd13d","6.817e-02","-3.668","5.387e-02","-0.262"
"Brd4","6.817e-02","-3.664","0.474","-0.907"
"Mindy3","6.817e-02","-3.663","0.161","-0.483"
"Dbnl","7.128e-02","-3.647","0.376","-0.797"
"Ecpas","7.223e-02","-3.641","0.334","-0.771"
"Rdh7","7.586e-02","-3.623","9.122e-02","-0.431"
"Pgam5","7.850e-02","-3.611","0.152","-0.485"
"Fam57a","7.924e-02","-3.606","0.377","-0.913"
"Ctns","8.154e-02","-3.594","9.760e-02","-0.361"
"Atf5","8.285e-02","-3.585","0.293","-0.729"
"Irs1","8.285e-02","-3.585","0.159","-0.523"
