"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Zgpat","0.741","-2.878","0.835","-0.504"
"Fbrs","0.741","-2.878","0.553","-0.426"
"Prpf6","0.741","2.874","0.424","0.405"
"Tspan13","0.741","-2.867","0.787","-0.497"
"H3f3a","0.741","-2.866","0.489","-0.431"
"Cybrd1","0.741","-2.866","0.204","-0.284"
"Nip7","0.741","-2.865","0.179","-0.273"
"Dync1li1","0.741","-2.861","0.325","-0.325"
"S100pbp","0.741","2.858","0.102","0.204"
"Isyna1","0.741","-2.856","0.228","-0.294"
"Clic6","0.741","-2.856","0.745","-0.491"
"Eif2s1","0.778","-2.835","0.150","-0.212"
"Tprn","0.778","-2.834","0.410","-0.348"
"Man2b2","0.779","-2.831","0.191","-0.284"
"Eps8","0.781","-2.821","0.634","-0.449"
"Sec13","0.781","-2.819","0.676","-0.434"
"Anapc7","0.781","-2.817","0.165","-0.229"
"Tmem126a","0.781","-2.814","0.337","-0.333"
"Ufm1","0.781","-2.812","0.210","-0.256"
"Zfand5","0.781","-2.811","0.389","-0.364"
"Mfsd10","0.781","-2.811","0.137","-0.216"
"Nrbp1","0.781","-2.809","0.416","-0.363"
"Ifngr1","0.781","-2.807","0.503","-0.393"
"Hspd1","0.781","-2.803","0.242","-0.285"
"Pip5k1b","0.781","-2.803","0.281","-0.308"
"Fam32a","0.784","-2.796","0.293","-0.300"
"Tmed2","0.784","-2.796","0.358","-0.328"
"Fnbp4","0.784","-2.795","0.394","-0.373"
"Dlg5","0.784","-2.793","0.255","-0.274"
"Guk1","0.794","-2.783","0.425","-0.360"
"Lrp5","0.794","-2.780","1.291","-0.497"
"Ctnnb1","0.794","-2.778","0.871","-0.524"
"Plce1","0.794","-2.776","0.206","-0.267"
"Wdr43","0.794","-2.775","0.346","-0.364"
"Hmgcl","0.794","-2.772","0.390","-0.333"
"Clasrp","0.794","2.771","0.634","0.459"
"Wdr6","0.794","-2.765","0.171","-0.251"
"Pdxk","0.794","-2.765","0.206","-0.283"
"Spag9","0.794","-2.764","0.465","-0.378"
"Eef1a1","0.794","-2.759","1.015","-0.577"
"Ets2","0.794","-2.758","0.325","-0.333"
"S100a11","0.794","-2.758","0.519","-0.399"
"Uckl1","0.794","-2.756","0.541","-0.403"
"Cops8","0.794","-2.754","0.110","-0.187"
"Wdr83","0.794","-2.753","0.160","-0.213"
"Unk","0.801","-2.745","0.273","-0.281"
"Atf4","0.801","-2.744","0.172","-0.230"
"Lrrc20","0.801","2.743","0.143","0.240"
"Sox2","0.805","-2.740","0.117","-0.212"
"Ibtk","0.806","-2.737","0.361","-0.338"
"Psmc5","0.807","-2.734","0.484","-0.379"
"Aurkaip1","0.807","-2.729","0.175","-0.217"
"Cirbp","0.807","2.727","0.543","0.419"
"Atp5a1","0.807","-2.724","0.204","-0.247"
"Cabin1","0.807","-2.724","0.283","-0.298"
"Zfp281","0.807","-2.723","0.130","-0.197"
"Acsl1","0.807","-2.723","0.192","-0.255"
"Aplp2","0.829","-2.709","0.678","-0.412"
"Utp25","0.829","-2.705","0.152","-0.218"
"Lratd1","0.829","-2.703","0.147","-0.228"
"Ddx24","0.829","-2.702","0.245","-0.260"
"Ubap1","0.829","-2.701","0.125","-0.194"
"Tmem59","0.829","-2.697","0.637","-0.410"
"Ndufaf7","0.829","-2.697","0.108","-0.183"
"Mta1","0.829","2.696","0.367","0.355"
"Neo1","0.829","-2.696","0.138","-0.205"
"Naip6","0.836","-2.690","0.809","-0.466"
"Chchd10","0.836","-2.689","0.275","-0.290"
"Lbh","0.840","2.685","0.136","0.217"
"Zfp703","0.844","-2.682","0.795","-0.509"
"Fos","0.849","-2.678","0.582","-0.456"
"Eif3l","0.849","-2.676","0.416","-0.353"
"Clmn","0.857","-2.668","0.532","-0.387"
"Tpt1","0.857","-2.668","0.435","-0.399"
"Pip4k2c","0.857","-2.666","0.167","-0.220"
"Arrdc4","0.857","-2.665","0.458","-0.387"
"Snx7","0.861","2.662","0.230","0.273"
"Jund","0.867","-2.658","0.894","-0.526"
"Adck1","0.870","-2.651","0.167","-0.226"
"Tbcel","0.870","2.651","0.322","0.349"
"Tmem238","0.870","-2.651","0.492","-0.365"
"Cemip2","0.877","-2.645","0.162","-0.228"
"Setd5","0.877","-2.645","0.684","-0.431"
"Elovl1","0.881","-2.641","0.124","-0.189"
"Pef1","0.892","-2.635","0.270","-0.299"
"Stat2","0.894","-2.631","0.177","-0.241"
"Abcg1","0.894","-2.630","0.108","-0.183"
"Farsb","0.894","-2.627","0.427","-0.364"
"Nedd1","0.894","-2.627","0.104","-0.188"
"Nprl3","0.894","-2.625","0.154","-0.216"
"Magoh","0.894","-2.624","0.105","-0.151"
"Prdx5","0.894","-2.621","0.393","-0.325"
"Zbtb8os","0.894","-2.620","0.144","-0.209"
"Mfge8","0.895","-2.616","0.571","-0.411"
"Cstf2","0.895","-2.615","0.232","-0.280"
"Usp25","0.895","-2.608","0.405","-0.343"
"Uba1","0.895","-2.608","0.495","-0.352"
"Ankrd10","0.895","-2.608","0.386","-0.329"
"Eif4g1","0.895","-2.607","0.449","-0.360"
"Homer1","0.895","-2.607","0.105","-0.191"
"Ercc2","0.895","-2.605","0.218","-0.251"
"Dis3","0.895","-2.604","9.639e-02","-0.175"
"Mphosph8","0.895","-2.603","0.196","-0.235"
"Fgd6","0.895","-2.598","7.217e-02","-0.131"
"Slc39a9","0.895","-2.596","0.507","-0.360"
"Snx16","0.895","-2.594","0.166","-0.241"
"Ezr","0.895","-2.594","0.879","-0.478"
"Kctd14","0.895","-2.594","0.485","-0.370"
"Pelo","0.895","-2.593","0.282","-0.274"
"Pdap1","0.895","-2.591","0.445","-0.345"
"Cdc123","0.895","-2.590","0.462","-0.355"
"Prpsap1","0.896","-2.588","0.277","-0.298"
"Tusc2","0.896","-2.587","0.222","-0.250"
"Ccnl1","0.896","-2.584","0.743","-0.437"
"Wbp1l","0.896","-2.582","0.562","-0.388"
"Cd200","0.896","2.577","8.519e-02","0.190"
"Ehmt2","0.896","-2.575","0.687","-0.401"
"Trim2","0.896","-2.574","0.367","-0.324"
"Ppia","0.896","-2.573","0.262","-0.254"
"Fam117b","0.896","-2.572","0.172","-0.212"
"Fgfrl1","0.896","-2.567","9.490e-02","-0.159"
"Tspan8","0.896","-2.567","1.314","-0.570"
"Rabep1","0.896","-2.567","0.403","-0.338"
"Vill","0.896","-2.563","1.026","-0.490"
"Mansc1","0.896","-2.562","0.429","-0.340"
"Eprs","0.896","-2.561","0.286","-0.287"
"Ifi27l2b","0.896","-2.561","0.226","-0.258"
"Clptm1l","0.896","-2.560","0.729","-0.403"
"Lyn","0.896","-2.559","0.125","-0.198"
"Dad1","0.896","-2.558","0.521","-0.378"
"Ly6e","0.896","-2.558","0.608","-0.407"
"Grk2","0.896","-2.558","0.565","-0.371"
"Lrg1","0.896","-2.557","0.368","-0.362"
"Scrib","0.904","-2.552","0.693","-0.414"
"Cavin1","0.914","-2.543","0.172","-0.242"
"Smn1","0.914","-2.541","9.035e-02","-0.164"
"Ranbp10","0.914","-2.541","8.626e-02","-0.156"
"AW554918","0.914","2.540","0.225","0.256"
"Bag4","0.914","-2.538","9.285e-02","-0.152"
"Bfar","0.914","-2.536","0.288","-0.254"
"Ptma","0.914","-2.536","0.422","-0.366"
"Dusp28","0.914","2.535","0.135","0.219"
"Ddx49","0.914","-2.533","0.254","-0.260"
"Bcl3","0.914","-2.532","0.436","-0.353"
"Aacs","0.914","-2.532","0.500","-0.386"
"Bst2","0.914","-2.531","9.125e-02","-0.165"
"Arcn1","0.919","-2.527","0.520","-0.354"
"Rpusd2","0.919","-2.526","7.854e-02","-0.142"
"Heatr5a","0.919","2.523","0.532","0.398"
"Urb2","0.919","-2.522","0.156","-0.211"
"Tnfrsf12a","0.919","-2.520","0.337","-0.304"
"Prelid1","0.919","-2.519","0.484","-0.363"
"Hnrnpab","0.919","-2.519","0.522","-0.389"
"Fkbp4","0.919","-2.518","0.326","-0.279"
"Ppp1cb","0.919","-2.517","0.678","-0.408"
"Vps45","0.925","-2.512","0.182","-0.211"
"Tmem167","0.925","-2.511","0.136","-0.178"
"Cd24a","0.928","-2.507","2.184","-0.596"
"Cyb5b","0.928","-2.506","0.166","-0.177"
"Sfn","0.928","-2.505","0.274","-0.269"
"Sfxn2","0.928","-2.504","0.129","-0.188"
