"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Nfx1","1","2.700","0.311","0.330"
"Nono","1","-2.696","0.204","-0.233"
"Ighg1","1","-2.693","7.916e-02","-0.160"
"Stat1","1","-2.689","8.440e-02","-0.170"
"Zmym2","1","2.688","0.393","0.388"
"Aqp3","1","-2.684","0.283","-0.295"
"Klc1","1","2.681","1.019","0.529"
"Top1","1","2.677","0.222","0.301"
"Metap1d","1","2.676","0.478","0.394"
"Kcnab3","1","2.673","0.269","0.349"
"Gnb1","1","-2.671","5.843e-02","-0.118"
"Rfk","1","-2.668","7.840e-02","-0.151"
"Polr3gl","1","2.665","0.337","0.360"
"Tff2","1","-2.665","1.697","-0.519"
"Tmed7","1","-2.661","0.288","-0.298"
"Hnrnpdl","1","2.661","0.308","0.335"
"Zfp414","1","2.651","0.145","0.238"
"Blcap","1","-2.646","0.181","-0.238"
"Ly6m","1","-2.641","0.125","-0.193"
"Tcf25","1","2.633","1.656","0.547"
"Tmem30b","1","-2.627","0.264","-0.276"
"Lamp1","1","-2.623","0.276","-0.269"
"Cenpb","1","-2.622","0.323","-0.299"
"Ubp1","1","2.622","0.869","0.491"
"Rbm33","1","2.616","0.606","0.439"
"Abi1","1","2.607","0.411","0.377"
"Tspo","1","-2.606","0.115","-0.174"
"Arglu1","1","2.597","2.160","0.548"
"Lrp10","1","-2.595","0.293","-0.282"
"Slc44a4","1","2.593","0.195","0.260"
"Itgb5","1","-2.593","0.191","-0.235"
"Sugp1","1","2.592","0.906","0.497"
"Clk4","1","2.592","1.076","0.505"
"Ifngr1","1","-2.588","0.167","-0.204"
"Lnx2","1","-2.588","0.158","-0.231"
"Polk","1","2.581","0.163","0.251"
"Iqce","1","2.580","0.152","0.246"
"Trmt1","1","-2.579","9.262e-02","-0.148"
"Jade1","1","2.573","0.477","0.384"
"Fam222b","1","-2.569","7.519e-02","-0.152"
"Gtf3c2","1","2.569","0.752","0.486"
"Coro2a","1","-2.566","9.639e-02","-0.154"
"Hmgb3","1","2.561","0.160","0.242"
"Naip6","1","-2.561","1.150","-0.567"
"Timm10b","1","-2.560","0.235","-0.262"
"Orc6","1","2.553","0.112","0.205"
"Ifi27l2b","1","-2.551","7.944e-02","-0.136"
"Crcp","1","-2.547","7.223e-02","-0.146"
"Phlpp1","1","-2.541","7.741e-02","-0.156"
"Tfap4","1","2.536","0.191","0.273"
"Ptms","1","-2.536","1.324","-0.485"
"Spint2","1","-2.534","0.844","-0.434"
"Exosc4","1","2.532","0.105","0.209"
"Rnps1","1","-2.532","0.129","-0.185"
"Itgb6","1","-2.530","0.368","-0.323"
"H2-Q6","1","-2.530","0.184","-0.238"
"Txn1","1","-2.524","5.624e-02","-0.113"
"Snx4","1","2.521","0.230","0.276"
"Nudt16l1","1","-2.517","0.208","-0.256"
"Rint1","1","2.517","0.749","0.461"
"Lgr4","1","-2.516","0.127","-0.185"
"Traf4","1","-2.515","9.506e-02","-0.160"
"Rgma","1","-2.512","6.297e-02","-0.127"
"AW549877","1","2.511","0.872","0.465"
"Fbxl15","1","2.510","9.810e-02","0.195"
"Dap","1","-2.505","0.103","-0.142"
"Crb3","1","-2.504","0.346","-0.305"
"Rnasek","1","-2.503","0.180","-0.210"
"Kat7","1","2.503","0.213","0.254"
"Rundc1","1","-2.502","0.135","-0.186"
"Nucks1","1","-2.502","6.680e-02","-0.135"
"Tubgcp4","1","2.497","0.163","0.235"
"Ctss","1","-2.493","8.470e-02","-0.164"
"Kiz","1","-2.486","6.889e-02","-0.139"
"Pvr","1","-2.486","7.828e-02","-0.158"
"Zfp512b","1","-2.483","0.172","-0.219"
"Marc2","1","2.482","0.427","0.379"
"Cdc42bpa","1","-2.478","6.225e-02","-0.126"
"Dlg5","1","2.477","0.125","0.207"
"Kifc2","1","2.473","0.242","0.303"
"Nisch","1","2.472","1.274","0.475"
"Ttc41","1","-2.472","5.065e-02","-0.102"
"Aldh1l1","1","2.472","0.316","0.310"
"Dimt1","1","2.466","0.199","0.264"
"Snx27","1","2.466","0.236","0.271"
"Zfp511","1","-2.465","0.115","-0.193"
"Pcgf3","1","-2.463","0.115","-0.174"
"Cited2","1","-2.463","0.485","-0.371"
"Cnot6","1","-2.463","6.438e-02","-0.130"
"Plekha7","1","2.463","0.284","0.303"
"Golga1","1","2.461","0.505","0.378"
"Faap20","1","2.456","0.175","0.238"
"Lfng","1","2.455","0.270","0.302"
"Crppa","1","-2.454","0.185","-0.243"
"Ech1","1","-2.452","0.171","-0.212"
"Dctn4","1","-2.452","0.181","-0.217"
"Cisd1","1","-2.451","5.958e-02","-0.120"
"Vkorc1l1","1","-2.445","0.210","-0.238"
"Tceal9","1","-2.436","0.489","-0.348"
"Trim37","1","2.433","0.113","0.208"
"Hsp90aa1","1","-2.428","5.640e-02","-0.114"
"Pnliprp1","1","-2.428","0.235","-0.238"
"Prr13","1","-2.427","0.269","-0.277"
"Naa20","1","-2.426","0.123","-0.190"
"Polr2j","1","2.419","0.143","0.234"
"Abcd3","1","-2.417","0.180","-0.216"
"Mxd4","1","2.415","0.466","0.378"
"Tars2","1","-2.413","0.212","-0.232"
"Dazap1","1","2.407","0.519","0.382"
"Dapk1","1","2.407","0.216","0.273"
"Cwh43","1","-2.406","6.174e-02","-0.125"
"Kdm4a","1","2.406","0.410","0.337"
"Ap4b1","1","-2.404","6.460e-02","-0.130"
"Nacc1","1","-2.404","5.876e-02","-0.119"
"Wdr45b","1","2.403","0.128","0.198"
"Zcchc14","1","-2.400","0.118","-0.169"
"Polrmt","1","-2.398","6.519e-02","-0.132"
"Dars","1","-2.398","0.262","-0.265"
"Ccdc134","1","-2.393","3.977e-02","-8.023e-02"
"Oas1a","1","-2.392","5.835e-02","-0.118"
"Pigr","1","2.390","0.150","0.211"
"Irf2bpl","1","-2.390","4.192e-02","-8.457e-02"
"Fam117b","1","-2.384","5.580e-02","-0.113"
"Rgmb","1","-2.383","0.470","-0.352"
"Try10","1","-2.379","0.144","-0.172"
"Ubxn6","1","2.376","0.269","0.310"
"Ddx60","1","-2.373","5.776e-02","-0.117"
"Pex7","1","-2.371","0.139","-0.201"
"Xaf1","1","-2.369","6.625e-02","-0.134"
"Ddx41","1","-2.369","0.207","-0.224"
"Gna12","1","-2.368","6.092e-02","-9.856e-02"
"Ndrg1","1","-2.365","0.122","-0.162"
"Naa80","1","2.365","0.319","0.310"
"Mast4","1","-2.363","0.136","-0.191"
"Selenot","1","-2.359","5.240e-02","-0.106"
"Pdlim1","1","-2.358","0.330","-0.283"
"Hnrnpm","1","2.358","1.064","0.462"
"Csf2ra","1","-2.357","5.758e-02","-0.116"
"Tfdp1","1","-2.353","0.190","-0.234"
"Eif2b2","1","-2.353","0.104","-0.162"
"Krt20","1","-2.349","0.278","-0.280"
"Ticam1","1","-2.348","3.996e-02","-8.062e-02"
"Kcnk5","1","-2.346","5.907e-02","-0.119"
"Ptbp3","1","-2.345","0.313","-0.269"
"Tmc4","1","2.344","0.735","0.410"
"Ubr4","1","-2.341","0.279","-0.259"
"Pde4dip","1","2.341","0.499","0.380"
"Fam149a","1","-2.337","0.223","-0.247"
"Rbmx","1","2.335","0.653","0.404"
"Chka","1","2.332","0.724","0.414"
"Zfp180","1","2.331","0.229","0.289"
"Col1a2","1","-2.329","0.147","-0.197"
"Mthfsd","1","2.329","0.628","0.391"
"Sec16b","1","2.326","0.418","0.342"
"Elf1","1","-2.326","0.181","-0.199"
"Ccnyl1","1","-2.326","0.100","-0.175"
"Rsf1","1","2.323","0.140","0.208"
"Sfi1","1","-2.321","0.523","-0.352"
"Ano8","1","2.317","0.244","0.265"
"Ndufa4","1","-2.314","5.924e-02","-0.112"
"Omp","1","-2.313","4.928e-02","-9.942e-02"
"Ahctf1","1","2.310","0.116","0.200"
"Gsap","1","-2.310","7.057e-02","-0.142"
"Snrpf","1","-2.308","5.230e-02","-0.106"
"Zbtb34","1","2.308","9.932e-02","0.171"
"Cfap97","1","-2.308","5.667e-02","-0.114"
"Apba3","1","-2.307","0.136","-0.190"
"Zc2hc1a","1","2.307","0.109","0.183"
"Tfdp2","1","2.306","0.326","0.295"
"Rufy1","1","2.305","0.229","0.243"
"Morf4l2","1","2.305","0.107","0.182"
"Rbm38","1","-2.305","5.127e-02","-0.103"
"Taz","1","2.304","1.007","0.455"
"Kansl3","1","-2.302","0.233","-0.238"
"Pnn","1","2.301","0.826","0.415"
"Fcer1g","1","-2.300","7.983e-02","-0.161"
"Ccdc189","1","-2.299","5.933e-02","-0.120"
"Ube3b","1","2.298","0.304","0.302"
"Osbpl8","1","-2.298","7.908e-02","-0.135"
"Gsr","1","2.297","8.610e-02","0.171"
"Ces2c","1","-2.292","0.247","-0.237"
"Mark2","1","2.290","0.396","0.322"
"Mon1b","1","-2.289","3.697e-02","-7.458e-02"
"Fundc2","1","-2.286","4.686e-02","-8.127e-02"
"Wdr4","1","-2.282","0.129","-0.181"
"Lgals4","1","-2.282","0.311","-0.270"
