"Gene Symbol","Adjusted P-value","t Statistic","Average Expression","log2 Fold Change"
"ARFRP1","0.478","1.806","5.091","0.112"
"ZSCAN16","0.608","-1.390","1.876","-0.228"
"KLHL13","0.632","-1.315","1.226","-0.266"
"RABGAP1L-DT","0.683","1.161","-1.143","0.401"
"PPP1R10","0.463","1.867","5.782","0.110"
"AIFM3","0.683","-1.163","-1.077","-0.461"
"JDP2","0.546","-1.582","3.295","-0.160"
"RSPH1","0.668","1.201","-0.155","0.327"
"RAD52","0.549","1.571","3.226","0.157"
"LDLR","0.440","1.938","7.258","9.857e-02"
