"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Neutrophil degranulation","7.263e-06","301","Actr2, Adam10, Aldoa, Alox5, Ampd3, Anpep, Anxa2, Ap1m1, Arhgap9, Arpc5, Atp11a, Atp6ap2, Atp6v0c, B2m, Bst2, Cand1, Cd33, Cd44, Cd63, Cd68, Cdk13, Ceacam1, Cep290, Ckap4, Cmtm6, Cotl1, Cpne3, Cr1l, Cst3, Ctsd, Ctsh, Ctss, Ctsz, Cyb5r3, Cyba, Cyfip1, Degs1, Dera, Diaph1, Dnajc5, Eef1a1, Eef2, Erp44, Fabp5, Faf2, Fcer1g, Ggh, Glb1, Gpi1, Grn, Gsdmd, Gsn, Gstp1, Gyg, H2-K1, H2-M3, Hbb-bs, Hbb-bt, Hexb, Hgsnat, Hmgb1, Hsp90aa1, Hspa8, Huwe1, Impdh1, Impdh2, Jup, Lyz2, Man2b1, Manba, Mapk1, Nckap1l, Ncstn, Neu1, Nme2, Pafah1b2, Pdxk, Pfkl, Psap, Psma5, Psmd11, Psmd12, Psmd7, Ptprc, Ptprj, Rab3d, Rab5b, Rab5c, Rab6a, Rab7, Rap2c, Rhof, S100a11, Scamp1, Sdcbp, Slc44a2, Slpi, Snap23, Surf4, Svip, Tbc1d10c, Tcirg1, Tmem179b, Tmem63a, Try10, Ttr, Tubb4b, Tubb5, Ubr4, Unc13d, Vat1, Vcp"
"Hemostasis","9.476e-03","270","Actg1, Actn4, Akap1, Alb, Aldoa, Anxa2, Atp2a2, Capzb, Cd44, Cd63, Cd74, Cd84, Cdc42, Ceacam1, Clu, Col1a1, Col1a2, Csk, Dock6, Ecm1, Endod1, Esam, F11r, F8, Fcer1g, Gas6, Gata2, Gna12, Gna14, Gnai3, Gnas, Gnb1, Gng10, H3f3a, Hdac1, Igf1, Inpp5d, Itga2b, Itgb1, Itpr1, Itpr3, Jmjd1c, Kif16b, Kif21b, Kif2a, Kras, Lcp2, Lgals3bp, Maff, Mapk1, Mfn2, P2rx7, Pde5a, Pdgfa, Plcg2, Ppp2r5b, Ppp2r5c, Prkar1a, Prkar2b, Procr, Psap, Ptpn1, Rarres2, Rcor1, Rhob, Sdc1, Sdc3, Sdc4, Selenop, Serping1, Sh2b1, Sod1, Sos1, Src, Stx4a, Syk, Tagln2, Tmsb4x, Tor4a, Trf, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Vav1, Wdr1, Zfpm1"
"Extracellular matrix organization","1.443e-02","101","Adam10, Bmp2, Capn13, Capn5, Cd44, Ceacam1, Col1a1, Col1a2, Col27a1, Col3a1, Col4a2, Col4a5, Col7a1, Ctsd, Ctsl, Ctss, Ddr1, F11r, Fbn1, Furin, Itga2b, Itga3, Itga6, Itgb1, Itgb5, Itgb6, Itgb7, Lama4, Ltbp4, Mmp11, Mmp15, P4hb, Pcolce, Ppib, Sdc1, Sdc3, Sdc4, Tnc, Try10"
"Regulation of actin dynamics for phagocytic cup formation","2.408e-02","37","Actg1, Actr2, Arpc1b, Arpc3, Arpc5, Cdc42, Cyfip1, Hsp90aa1, Mapk1, Myh9, Nckap1, Nckap1l, Syk, Vav1, Wasf2"
