"cluster","ncells","Colour","ord","shortName","realname"
"64","Mesothelial cells_15",1103.65050668686,"#e31a1c",2,"Mesothelial","Mesothelial cells"
"65","Mesothelial cells_15",1103.65050668686,"#e31a1c",2,"Mesothelial cells","Mesothelial cells"
"66","Mesothelial cells_0",359.454896018609,"#5f75ae",2,"Mesothelial","Mesothelial cells"
"67","Mesothelial cells_0",359.454896018609,"#5f75ae",2,"Mesothelial cells","Mesothelial cells"
"68","Mesothelial cells_3",5596.20533151261,"#e5486e",2,"Mesothelial","Mesothelial cells"
"69","Mesothelial cells_3",5596.20533151261,"#e5486e",2,"Mesothelial cells","Mesothelial cells"
"70","Mesothelial cells_9",1,"#b15928",2,"Mesothelial","Mesothelial cells"
"71","Mesothelial cells_9",1,"#b15928",2,"Mesothelial cells","Mesothelial cells"
"72","Mesothelial cells_11",1,"#6a3d9a",2,"Mesothelial","Mesothelial cells"
"73","Mesothelial cells_11",1,"#6a3d9a",2,"Mesothelial cells","Mesothelial cells"
"74","Mesothelial cells_19",1,"#1f78b4",2,"Mesothelial","Mesothelial cells"
"75","Mesothelial cells_19",1,"#1f78b4",2,"Mesothelial cells","Mesothelial cells"
"76","Mesothelial cells_21",4.35138839574553,NA,2,"Mesothelial","Mesothelial cells"
"77","Mesothelial cells_21",4.35138839574553,NA,2,"Mesothelial cells","Mesothelial cells"
"78","Myeloid cells_9",326.776548328267,"#b15928",2,"Myeloid cells","Myeloid cells"
"79","Myeloid cells_5",1,"#eccf5a",2,"Myeloid cells","Myeloid cells"
"80","Myeloid cells_14",1,"#fdbf6f",2,"Myeloid cells","Myeloid cells"
"81","Myeloid cells_0",344.935556449862,"#5f75ae",2,"Myeloid cells","Myeloid cells"
"82","Myeloid cells_4",6933.50001924762,"#de8e06",2,"Myeloid cells","Myeloid cells"
"83","Myeloid cells_10",1,"#ffff99",2,"Myeloid cells","Myeloid cells"
"84","Lymphoid cells_6",1,"#b5aa0f",2,"Lymphoid cells","Lymphoid cells"
"85","Lymphoid cells_10",1,"#ffff99",2,"Lymphoid cells","Lymphoid cells"
"86","Lymphoid cells_12",1,"#cab2d6",2,"Lymphoid cells","Lymphoid cells"
"87","Lymphoid cells_8",1,"#7ba39d",2,"Lymphoid cells","Lymphoid cells"
"88","Lymphoid cells_3",1,"#e5486e",2,"Lymphoid cells","Lymphoid cells"
"89","Lymphoid cells_7",1,"#e4b680",2,"Lymphoid cells","Lymphoid cells"
"90","Lymphoid cells_4",2176.37259690097,"#de8e06",2,"Lymphoid cells","Lymphoid cells"
"91","Lymphoid cells_19",1,"#1f78b4",2,"Lymphoid cells","Lymphoid cells"
"92","Lymphoid cells_14",1,"#fdbf6f",2,"Lymphoid cells","Lymphoid cells"
"93","Lymphoid cells_15",1258.30337514891,"#e31a1c",2,"Lymphoid cells","Lymphoid cells"
"94","Lymphoid cells_21",3.33605269737974,NA,2,"Lymphoid cells","Lymphoid cells"
"95","Lymphoid cells_0",1,"#5f75ae",2,"Lymphoid cells","Lymphoid cells"
"96","Lymphoid cells_5",1,"#eccf5a",2,"Lymphoid cells","Lymphoid cells"
"97","Lymphoid cells_13",1,"#ff7f00",2,"Lymphoid cells","Lymphoid cells"
"98","Lymphoid cells_2",1,"#64a841",2,"Lymphoid cells","Lymphoid cells"
"99","Lymphoid cells_11",1,"#6a3d9a",2,"Lymphoid cells","Lymphoid cells"
"100","Lymphoid cells_16",1,"#fb9a99",2,"Lymphoid cells","Lymphoid cells"
"101","Lymphoid cells_18",1,"#b2df8a",2,"Lymphoid cells","Lymphoid cells"
"102","Erythroblasts_6",1,"#b5aa0f",2,"Erythroblasts","Erythroblasts"
"103","Erythroblasts_11",1,"#6a3d9a",2,"Erythroblasts","Erythroblasts"
"104","Erythroblasts_5",1,"#eccf5a",2,"Erythroblasts","Erythroblasts"
"105","Erythroblasts_19",1,"#1f78b4",2,"Erythroblasts","Erythroblasts"
"106","Erythroblasts_10",1,"#ffff99",2,"Erythroblasts","Erythroblasts"
"107","Erythroblasts_8",1,"#7ba39d",2,"Erythroblasts","Erythroblasts"
"108","Erythroblasts_16",1,"#fb9a99",2,"Erythroblasts","Erythroblasts"
"109","Erythroblasts_4",1,"#de8e06",2,"Erythroblasts","Erythroblasts"
"110","Erythroblasts_21",45.4970324698573,NA,2,"Erythroblasts","Erythroblasts"
"111","Erythroblasts_7",130.478218408502,"#e4b680",2,"Erythroblasts","Erythroblasts"
"112","Erythroblasts_2",1,"#64a841",2,"Erythroblasts","Erythroblasts"
"113","Erythroblasts_18",1,"#b2df8a",2,"Erythroblasts","Erythroblasts"
"114","Erythroblasts_20",1,"#a6cee3",2,"Erythroblasts","Erythroblasts"
"115","Erythroblasts_17",1,"#33a02c",2,"Erythroblasts","Erythroblasts"
"116","Erythroblasts_15",982.906849689086,"#e31a1c",2,"Erythroblasts","Erythroblasts"
"117","Erythroblasts_12",1,"#cab2d6",2,"Erythroblasts","Erythroblasts"
"118","Erythroblasts_13",1,"#ff7f00",2,"Erythroblasts","Erythroblasts"
"119","Erythroblasts_3",1,"#e5486e",2,"Erythroblasts","Erythroblasts"
"120","Erythroblasts_1",39.245837930866,"#92bbb8",2,"Erythroblasts","Erythroblasts"
"121","Erythroblasts_9",1,"#b15928",2,"Erythroblasts","Erythroblasts"
"122","Erythroblasts_14",1,"#fdbf6f",2,"Erythroblasts","Erythroblasts"
"123","Erythroblasts_0",1,"#5f75ae",2,"Erythroblasts","Erythroblasts"
