"","x"
"323","Junb"
"324","Fos"
"325","Tprn"
"326","Pet100"
"327","Cox6c"
"328","Mef2d"
"329","Rhou"
"330","Ndufa6"
"331","Abcd3"
"332","Comt"
"333","Slc27a4"
"334","Ogfr"
"335","Anxa2"
"336","H2-T23"
"337","Cox7c"
"338","Gstk1"
"339","Tnfrsf1a"
"340","Ifi44"
"341","Hk1"
"342","Adipor2"
"343","Hint3"
"344","Tmsb4x"
"345","Slc35c1"
"346","Mdh1"
"347","Ormdl2"
"348","Abhd17a"
"349","Ly6e"
"350","Ranbp10"
"351","Lpl"
"352","Atp6v1a"
"353","Tmem63a"
"354","Stard10"
"355","Vamp8"
"356","Pla2g10"
"357","Ddx24"
"358","Gjb1"
"359","Abhd3"
"360","Uba1"
"361","Zswim6"
"362","Tomm7"
"363","Prss8"
"364","Mpc2"
"365","Rabac1"
"366","Ndufb7"
"367","Metrnl"
"368","Mrtfa"
"369","Slc25a39"
"370","Vdac2"
"371","Leng9"
"372","Atp5j2"
"373","Emc10"
"374","Smim38"
"375","Fam210b"
"376","Arhgap22"
"377","Eif4g1"
"378","Psma6"
"379","Letm1"
"380","Kmt2c"
"381","Uqcr11"
"382","Ndufb8"
"383","Epop"
"384","Adcyap1r1"
"385","Vegfb"
"386","Gipc2"
"387","Rab3b"
"388","Abhd5"
"389","Smpdl3a"
"390","Dad1"
"391","Cotl1"
"392","Taldo1"
"393","Ifngr1"
"394","Sys1"
"395","Lpar3"
"396","Ppfia3"
"397","Uqcr10"
"398","Mlf2"
"399","Mcur1"
"400","Adh7"
"401","Ddx58"
"402","Cep170b"
"403","Crb3"
"404","Tcea3"
"405","Mmp15"
"406","Rab5c"
"407","Sgk1"
"408","Ltbr"
"409","Cdkn2b"
"410","Lsr"
"411","Tmx4"
"412","Uqcrb"
"413","Slc25a3"
"414","Wbp1l"
"415","Igsf23"
"416","Sod2"
"417","Myh9"
"418","Znhit2"
"419","Suclg2"
"420","Zfp385b"
"421","Vcp"
"422","Tspan1"
"423","Pllp"
"424","Lgr4"
"425","Atp5l"
"426","Foxq1"
"427","Evpl"
"428","Hspa4"
"429","Romo1"
"430","Alb"
"431","Tomm22"
"432","Trim30a"
"433","Acsl1"
"434","Prnp"
"435","Sdf4"
"436","Dstn"
"437","Snta1"
"438","Myadm"
"439","Igfbp6"
"440","Arl8b"
"441","Me2"
"442","Anxa11"
"443","Cstb"
"444","Ly6g6c"
"445","Ces2g"
"446","Tmem51"
"447","Slc25a11"
"448","Lgals2"
"449","Gm2a"
"450","Slc2a10"
"451","M6pr"
"452","Znrf2"
"453","Asap3"
"454","Lmo4"
"455","Sptssb"
"456","Cenpb"
"457","Tspan13"
"458","Acaa2"
"459","Psapl1"
"460","Ttr"
"461","Igfbp2"
"462","S100a13"
"463","Smad9"
"464","Rnf186"
"465","Atp6ap1"
"466","Pls1"
"467","Avpi1"
"468","Entpd2"
"469","Apoa1"
"470","Ldhb"
"471","Naga"
"472","Fxyd3"
"473","Hamp2"
"474","Tmem184a"
"475","Tpm4"
"476","Slc2a4"
"477","Actr3"
"478","Ndrg1"
"479","Gstp1"
"480","Samd8"
"481","Ubxn1"
"482","Abhd12"
"483","Fzd4"
"484","Nucb1"
"485","Cln8"
"486","Tmem189"
"487","Cdh1"
"488","Arpc1b"
"489","Gbp3"
"490","Uba7"
"491","Atp6v1f"
"492","Gpr155"
"493","Ehd4"
"494","Psmb8"
"495","Tmprss9"
"496","Rrbp1"
"497","Plekhb2"
"498","Bag3"
"499","Ppp1r15b"
"500","Sphk2"
"501","Cuta"
"502","Clic3"
"503","Susd6"
"504","Smagp"
"505","Ugdh"
"506","Mpc1"
"507","Ech1"
"508","Rnf114"
"509","Edn3"
"510","Map2k3"
"511","Slc9a2"
"512","Dot1l"
"513","Man2b2"
"514","Ndufa8"
"515","Cyb561a3"
"516","Zdhhc5"
"517","Trim30d"
"518","Chmp4b"
"519","Tes"
"520","Tbcb"
"521","Atp5c1"
"522","Arf5"
"523","Cmtr1"
"524","Igf2r"
"525","Lbh"
"526","Capzb"
"527","Parp10"
"528","Znfx1"
"529","Eif6"
"530","Ppp1ca"
"531","Tma7"
"532","Sgms2"
"533","Cib1"
"534","Cd82"
"535","Trim56"
"536","Sdhb"
"537","Dmbx1"
"538","Kif13b"
"539","Chst3"
"540","Rab11fip1"
"541","Ccnd3"
"542","Ndufb1-ps"
"543","Twf1"
"544","Pnliprp2"
"545","Hpgd"
"546","Irgm2"
"547","Psmb4"
"548","Brk1"
"549","Hsd17b10"
"550","Acacb"
"551","Rab5b"
"552","Alas1"
"553","Pnpla2"
"554","Tmem106b"
"555","Clic6"
"556","Tmem171"
"557","Kank1"
"558","Tmed10"
"559","Eif3i"
"560","Csk"
"561","Gnb2"
"562","Rap2c"
"563","Nme1"
"564","Atrnl1"
"565","Daam1"
"566","Ndufb11"
"567","Car13"
"568","Arsa"
"569","Sh3bp1"
"570","Tgoln1"
"571","Atn1"
"572","Insig1"
"573","Pgm2"
"574","Kcne2"
"575","Phc2"
"576","Atp5a1"
"577","Trim12a"
"578","Acot2"
"579","Mfsd5"
"580","Bace2"
"581","Zfp503"
"582","Dynll1"
"583","Paqr7"
"584","Szrd1"
"585","Ddr1"
"586","Got2"
"587","Il10rb"
"588","Cltb"
"589","Cap1"
"590","Nme2"
"591","Kif1c"
"592","Myo10"
"593","Tmem33"
"594","St14"
"595","Lman2"
"596","Hnrnpf"
"597","Noct"
"598","Ndst1"
"599","Skp1a"
"600","Traf4"
"601","Rab5if"
"602","Tff1"
"603","Slc35e1"
"604","Acsl3"
"605","Ppia"
"606","Krt19"
"607","Acsf2"
"608","Cand1"
"609","Socs4"
"610","Ccdc124"
"611","Ang"
"612","Tsc22d3"
"613","Cnot6"
"614","Map7d1"
"615","Tufm"
"616","Ly6g6e"
"617","Ankrd35"
"618","Tmem42"
"619","Uqcrc1"
"620","Uqcrq"
"621","Fam83h"
"622","Prdx2"
"623","Lrp1"
"624","Med26"
"625","Chmp1a"
"626","Pdia4"
"627","Sorl1"
"628","Vamp3"
"629","Atp6v0b"
"630","Myl6"
"631","Spink4"
"632","Cfap45"
"633","Fam83f"
"634","Slc5a5"
"635","Mgat2"
"636","Pgap2"
"637","Dsc2"
"638","Fam20b"
"639","Manf"
"640","Capn9"
"641","Glmp"
"642","Fosb"
"643","Arhgef5"
"644","Tent5a"
"645","Trp53inp2"
"646","Ralgds"
"647","Acat1"
"648","Paqr5"
"649","Thsd4"
"650","Spata2"
"651","Arpc5"
"652","Bsg"
"653","AA986860"
"654","Zfp768"
"655","Cemip2"
"656","Gpi1"
"657","Irgm1"
"658","Hs6st1"
"659","Rab25"
"660","Mfsd1"
"661","Efnb1"
"662","Baiap2"
"663","Lypd3"
"664","Npw"
"665","Map2k1"
"666","Cox17"
"667","Smim13"
"668","Tmem164"
"669","Prss23"
"670","Spns2"
"671","Cdk9"
"672","Ephx1"
"673","Unc5b"
"674","Rgmb"
"675","Tm9sf3"
"676","Tmed6"
"677","D8Ertd738e"
"678","Slc2a1"
"679","Slc52a3"
"680","Selenop"
"681","Lasp1"
"682","H3f3b"
"683","Eif1"
"684","Als2"
"685","Zdhhc7"
"686","Secisbp2l"
"687","Cpt1a"
"688","Pmepa1"
"689","Rnf19b"
"690","Tbc1d20"
"691","Erg28"
"692","P2rx4"
"693","Spint1"
"694","Bak1"
"695","Atg4d"
"696","Marcks"
"697","Slirp"
"698","Fuca2"
"699","Fam189a2"
"700","Sytl1"
"701","Ubl3"
"702","Mmp28"
"703","Trim12c"
"704","Uqcrc2"
"705","Gpt2"
"706","Atxn2"
"707","Gpm6a"
"708","Atp6ap2"
"709","Psmb3"
"710","Epn1"
"711","Pef1"
"712","Mtmr4"
"713","Leprot"
"714","Mxd1"
"715","Naa38"
"716","Peli2"
"717","Nr2f6"
"718","B4galnt3"
"719","Dynlrb1"
"720","Rnf31"
