"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.44347820437864e-155,3.4208937466472,0.929,0.093,2.75112510972524e-151,"9","Tnni3"
5.14780110079854e-31,3.41488444443238,0.857,0.036,9.81119411801193e-27,"18","Agt"
8.161807351455e-23,3.41368591952146,1,0.072,1.55555886311381e-18,"18","Lrmp"
1.13709017822226e-98,3.41338073185169,0.939,0.193,2.1671801706738e-94,"9","Chchd10"
1.44715010640686e-89,3.41029468751028,0.445,0.051,2.75812338780083e-85,"4","Cxcl5"
1.99986251421521e-145,3.39991044570362,0.944,0.093,3.81153796584277e-141,"11","Adgrd1"
1.01225054126279e-188,3.38725585863419,0.53,0.038,1.92924830659276e-184,"2","Mrc1"
2.60362355743175e-35,3.3834267696533,0.609,0.091,4.96224613810917e-31,"16","Themis2"
1.1295476905002e-226,3.37239041479144,0.803,0.075,2.15280494332434e-222,"3","Prr15"
2.34179973031716e-34,3.36818142684785,0.719,0.357,4.46323610601147e-30,"6","Bpifb1"
1.2084329298562e-195,3.36575523901536,0.729,0.043,2.30315232101294e-191,"8","Jph2"
9.60389737776234e-167,3.35733589581495,0.482,0.036,1.83040680122772e-162,"2","C1qa"
9.46880055612995e-163,3.35205610860869,0.921,0.074,1.80465869799281e-158,"11","Wt1"
6.9271720115903e-58,3.34957006297656,1,0.025,1.32024971368899e-53,"18","Spib"
2.09230440802229e-168,3.343200449107,0.613,0.028,3.98772297124968e-164,"10","H2-Q2"
1.35363211397206e-129,3.34120264110503,0.908,0.119,2.57988744601934e-125,"9","Fa2h"
1.07643807315535e-174,3.33801257783694,0.851,0.269,2.05158332362678e-170,"1","Col1a1"
1.72409166204169e-165,3.33079343749135,0.814,0.272,3.28594629868527e-161,"1","Bgn"
3.24126928086086e-226,3.32804495492305,0.888,0.046,6.17753512239271e-222,"9","Fabp3"
6.10199624285157e-129,3.32272528150883,0.952,0.281,1.16297946392508e-124,"3","Igfbp5"
5.7227367355191e-81,3.31807761986245,0.783,0.084,1.09069639442259e-76,"14","Cd248"
0,3.31251525094729,0.908,0.021,0,"9","Tmprss9"
1.4654861081376e-45,3.31007617058592,0.425,0.067,2.79306997349945e-41,"10","Enpp3"
5.97516843517557e-114,3.29140955663868,0.37,0.006,1.13880735206011e-109,"16","Cxcr2"
4.98802746181063e-163,3.28616441117502,0.798,0.128,9.50668153946488e-159,"3","Bcam"
2.10717882313437e-70,3.28521305490846,0.907,0.366,4.01607211901179e-66,"8","Csrp1"
1.40793499859557e-24,3.28283557489603,0.522,0.099,2.68338331382329e-20,"16","Slc16a3"
3.56865820742167e-65,3.27877731254091,0.675,0.051,6.80150567752497e-61,"17","Kif12"
6.45848832678151e-56,3.27091958813648,0.95,0.217,1.23092329020129e-51,"14","Tnxb"
2.00509725832371e-68,3.2532712187641,0.304,0.008,3.82151486463915e-64,"16","Il1f9"
4.16690419966571e-36,3.25292846116724,1,0.042,7.94170271414289e-32,"18","Nebl"
1.53997837317374e-114,3.25262633932158,0.746,0.275,2.93504478143183e-110,"2","Ctsc"
6.87178387893871e-205,3.25029050423017,0.667,0.029,1.30969328948693e-200,"8","Mcam"
1.60068248066648e-43,3.24885092992835,0.913,0.19,3.05074073990224e-39,"16","Tyrobp"
2.67095271003087e-120,3.24416458759696,0.68,0.045,5.09056877004784e-116,"13","Pkn3"
1.17571563151908e-21,3.24241963076309,0.373,0.079,2.24079642211221e-17,"13","Fabp4"
1.42914687450114e-58,3.2415431001966,0.346,0.047,2.72381102811172e-54,"4","Ltf"
5.68709010296943e-08,3.22879318568599,0.857,0.189,0.00108390250272494,"18","Ptgs1"
3.36233707585687e-66,3.22359858076353,0.739,0.07,6.40827823287561e-62,"16","Slc11a1"
9.23958530687791e-12,3.223277630663,1,0.16,1.76097256363786e-07,"18","Ttll10"
3.69642401910459e-60,3.2225238987537,0.792,0.226,7.04501453801144e-56,"10","Smim24"
6.0445128803029e-61,3.22206852258247,0.452,0.044,1.15202370985693e-56,"12","Sell"
1.83227249898832e-180,3.22099402462486,0.417,0.005,3.49212815582184e-176,"12","Fcer2a"
4.10200957217614e-193,3.21400932397911,0.434,0.006,7.8180200436105e-189,"10","Cyp3a11"
3.14938753148833e-68,3.21013837978392,0.609,0.043,6.00241769626361e-64,"16","Hp"
2.21281788824813e-55,3.20073340584686,1,0.026,4.21740961321211e-51,"18","Hepacam2"
1.0490063439578e-159,3.20049434242467,0.491,0.015,1.99930119094916e-155,"10","Slc26a3"
3.48759025015447e-73,3.20043564870702,0.628,0.108,6.64699825776941e-69,"7","Cftr"
1.29280158051e-26,3.19775087909499,0.587,0.114,2.46395053229401e-22,"16","Nr4a1"
1.8460195915039e-78,3.1956670435824,0.8,0.06,3.51832873944728e-74,"17","Peg3"
2.87462206708652e-132,3.19528852387815,0.585,0.037,5.4787421976602e-128,"10","Fabp1"
2.53320266948999e-52,3.18324198872471,0.595,0.099,4.82803096778097e-48,"12","Cd37"
7.62253379938402e-53,3.18187852998775,0.63,0.063,1.4527787168246e-48,"16","Csf2rb"
1.26489655900448e-118,3.18131367192607,0.908,0.131,2.41076635180664e-114,"9","Ldhb"
9.0151019310044e-178,3.18083890165115,0.888,0.058,1.71818827703013e-173,"11","Pkhd1l1"
3.15664419493567e-228,3.17900961734517,0.98,0.344,6.0162481711279e-224,"0","Cyp2s1"
9.3522728833512e-25,3.17637349782474,1,0.066,1.78244968883791e-20,"18","Dmxl2"
5.17975436136365e-162,3.17451431751392,0.798,0.119,9.87209383732297e-158,"3","Gas1"
4.44857912384704e-218,3.17403227202693,0.662,0.061,8.47854695214007e-214,"2","Mpeg1"
1.22470796640561e-24,3.16848147324045,0.5,0.088,2.33417091317245e-20,"16","Il1rn"
1.26089030644279e-135,3.16559358370325,0.59,0.097,2.40313083504932e-131,"2","H2-Aa"
3.2079590278611e-65,3.16553948172634,0.95,0.172,6.11404911120047e-61,"14","Dpt"
2.54369564711213e-54,3.16536819054597,0.4,0.019,4.84802953383101e-50,"17","Cel"
1.44841097813792e-52,3.16530176704527,0.435,0.028,2.76052648323305e-48,"16","Trim30b"
1.34077638766707e-143,3.16446466067725,0.5,0.016,2.55538571725468e-139,"12","Pou2af1"
1.32570057537658e-84,3.16147131533331,0.594,0.072,2.52665272661022e-80,"10","Slc26a6"
3.34724276134066e-70,3.15812966240981,0.983,0.169,6.37950997883917e-66,"14","Clec3b"
5.12509523633484e-82,3.15688902508398,0.8,0.087,9.76791901093057e-78,"14","Col14a1"
8.57228748877744e-24,3.15545399074968,0.761,0.253,1.63379227248609e-19,"16","Plaur"
2.73113607321209e-281,3.15371322037588,0.667,0.008,5.20527224193492e-277,"13","Ushbp1"
7.28026708018641e-75,3.14264473252034,0.566,0.075,1.38754610281273e-70,"10","Tm4sf5"
3.29314364362881e-149,3.13455950343209,0.931,0.591,6.27640247039216e-145,"1","Gsn"
5.53044778954904e-30,3.13095747662479,1,0.053,1.05404804421015e-25,"18","Hap1"
3.90004993158751e-89,3.12973070921063,0.628,0.09,7.43310516461263e-85,"8","Synpo2"
6.34689564997316e-56,3.12908539585115,0.726,0.195,1.20965484192838e-51,"10","Eps8l3"
2.05906137760192e-182,3.12800563771903,0.933,0.376,3.9243650795715e-178,"1","Col1a2"
1.44189353886914e-121,3.1263113673661,0.632,0.052,2.74810489573069e-117,"10","Cdhr5"
6.40961917610879e-22,3.12363507532625,0.522,0.103,1.22160931877458e-17,"16","Ncf1"
1.79216507924189e-174,3.12303507513366,0.413,0.003,3.41568742452713e-170,"16","Trem1"
5.50584044998446e-184,3.12126712516204,0.908,0.066,1.04935813136254e-179,"9","Igfbp2"
4.82345790334644e-89,3.11800658646926,0.391,0.011,9.19302841798797e-85,"16","Osm"
5.00285199786985e-131,3.11766263356999,0.918,0.114,9.53493562274015e-127,"9","Lpl"
3.6231007666612e-91,3.11465121331528,0.55,0.021,6.90526775117958e-87,"17","Nap1l5"
4.40166859474365e-57,3.1097958433931,0.867,0.161,8.38914017472192e-53,"14","Fbn1"
1.36578889214238e-09,3.10842780452363,0.714,0.09,2.60305704953416e-05,"18","Lss"
2.80374143254358e-47,3.10571831166968,0.63,0.071,5.34365079628481e-43,"16","Cd33"
7.22037070041362e-77,3.10536056296567,0.63,0.04,1.37613045179183e-72,"16","Rab44"
9.86404815911422e-45,3.10365945832233,0.632,0.176,1.87998893864558e-40,"10","Rbp2"
5.59952340149664e-68,3.0983131962456,0.992,0.623,1.06721316509124e-63,"8","Tpm1"
4.41236475933062e-100,3.09651158433062,0.646,0.22,8.40952599480823e-96,"1","Mgp"
9.75442362740192e-59,3.09587442954101,0.509,0.076,1.85909559914653e-54,"10","Ces2a"
2.65904614785824e-270,3.08705936539181,0.64,0.007,5.06787605320303e-266,"13","Sox18"
1.36825860885162e-12,3.08572501822845,1,0.153,2.60776408261031e-08,"18","Itpr2"
1.14054409259935e-34,3.08459055735523,0.609,0.089,2.17376298608509e-30,"16","Ncf2"
2.99312708413337e-242,3.07600622063487,0.775,0.011,5.70460090964979e-238,"17","Snap25"
2.65964064227143e-127,3.07355631936252,0.5,0.01,5.06900910010511e-123,"17","Insrr"
2.27206424255436e-182,3.07297041006265,0.974,0.519,4.33032723988436e-178,"0","Psca"
8.28762153405587e-22,3.07285667331941,0.739,0.257,1.57953778817571e-17,"16","Pim1"
1.63424859735129e-31,3.06251132235784,0.889,0.341,3.11471440169183e-27,"15","Sfi1"
4.14215864478519e-204,3.06187582074136,0.745,0.066,7.8945401610961e-200,"3","Fmo2"
2.7177035356347e-238,3.05960777151887,0.88,0.181,5.17967116856617e-234,"0","Aqp3"
4.20514324965041e-143,3.05506104500009,0.44,0.024,8.01458251950871e-139,"5","Skap1"
4.7709894384548e-49,3.05427278731603,0.5,0.042,9.09302877075101e-45,"16","Slc7a11"
2.22834679620319e-189,3.05197149839576,0.594,0.02,4.24700615888367e-185,"10","Myo7b"
1.92576594483856e-228,3.04851355838494,0.98,0.331,3.67031731426781e-224,"0","Anxa10"
5.77626845441979e-147,3.04641272195083,0.462,0.015,1.10089900472787e-142,"10","Muc3"
1.72926520428511e-13,3.04603468629529,0.283,0.049,3.29580655284699e-09,"16","Lrg1"
7.87006412679089e-126,3.04546724197888,0.47,0.057,1.49995552192507e-121,"2","Stab1"
1.86904872792385e-147,3.04434131629519,0.44,0.01,3.56221997055007e-143,"12","Mzb1"
1.3260379061278e-54,3.04323181174839,0.67,0.164,2.52729564528898e-50,"10","Myo1a"
1.548711262032e-17,3.04255420014535,0.283,0.038,2.9516887943068e-13,"16","Il1a"
1.8941331459153e-70,3.03795639711873,0.752,0.201,3.61002836279997e-66,"8","Sorbs1"
2.08029083149007e-127,3.03285035092622,0.669,0.063,3.96482629573692e-123,"7","A4gnt"
1.67494880920223e-212,3.03249225464337,0.72,0.098,3.19228493545853e-208,"1","Dpt"
1.80202519982198e-125,3.03195467008532,0.659,0.064,3.43447982834072e-121,"8","Pdlim3"
4.21540715631227e-15,3.0299535540772,0.717,0.363,8.03414449921555e-11,"16","Nfkbia"
1.25923334781047e-24,3.02260025630985,0.304,0.031,2.39997283759198e-20,"16","Cd80"
1.77448661836418e-58,3.01711431338717,0.867,0.158,3.38199404594029e-54,"14","Slit3"
