"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Fbxw5","1.000","-3.666e-02","5.199","-6.486e-02"
"Traf2","1.000","9.116e-03","7.955","1.345e-02"
"Edf1","1.000","-0.750","30.244","-0.699"
"Phpt1","1.000","-7.781e-02","0.711","-0.292"
"Ajm1","1.000","-0.224","0.569","-1.001"
"Rabl6","1.000","-0.121","3.115","-0.252"
"Tmem141","1.000","0.265","0.367","1.271"
"Fcna","1.000","0.405","0.141","1.958"
"Bmyc","1.000","-0.239","4.623","-0.440"
"Camsap1","1.000","0.321","0.169","1.546"
"Ubac1","1.000","0.265","0.367","1.271"
"Nacc2","1.000","-7.934e-02","1.924","-0.197"
"Tmem250-ps","1.000","-0.620","8.197","-0.931"
"Lhx3","1.000","0.563","0.113","2.730"
"Qsox2","1.000","0.408","0.282","1.964"
"Ccdc187","1.000","0.145","0.282","0.699"
"Gpsm1","1.000","-0.125","0.932","-0.446"
"Dnlz","1.000","-0.145","6.213","-0.238"
"Card9","1.000","0.405","0.141","1.958"
"Snapc4","1.000","0.185","0.677","0.750"
"Entr1","1.000","-0.304","5.289","-0.527"
"Pmpca","1.000","-0.428","5.693","-0.716"
"Inpp5e","1.000","0.361","0.847","1.336"
"Sec16a","1.000","-0.262","5.402","-0.449"
"Notch1","1.000","-4.597e-02","4.839","-8.138e-02"
"Egfl7","1.000","0.364","0.451","1.744"
"Agpat2","1.000","-1.789","53.544","-1.542"
"Dipk1b","1.000","0.240","2.825e-02","1.166"
"Abo","1.000","0.337","0.677","1.365"
"Surf6","1.000","-8.175e-02","3.884","-0.162"
"Med22","1.000","0.136","1.186","0.439"
"Surf1","1.000","-0.278","8.521","-0.401"
"Surf2","1.000","0.284","1.755","0.739"
"Surf4","1.000","-0.607","29.106","-0.583"
"Rexo4","1.000","0.283","10.813","0.353"
"Cacfd1","1.000","-9.180e-02","27.504","-8.874e-02"
"Slc2a6","1.000","0.169","0.932","0.604"
"Adamtsl2","1.000","0.240","2.825e-02","1.166"
"Sardh","1.000","-0.264","0.598","-1.145"
"Vav2","1.000","-0.126","3.994","-0.240"
"Brd3","1.000","0.626","9.307","0.824"
"Wdr5","1.000","0.203","1.472","0.565"
"Rxra","1.000","-0.821","7.464","-1.315"
"Col5a1","1.000","-2.605e-02","1.134","-7.966e-02"
"Olfm1","1.000","0.876","3.032","1.964"
"Gbgt1","1.000","0.240","2.825e-02","1.166"
"Ralgds","1.000","-0.923","38.915","-0.851"
"Cel","1.000","-1.920e-02","0.169","-9.280e-02"
"Gtf3c5","1.000","-3.038e-02","7.455","-4.446e-02"
"Tsc1","1.000","0.243","2.799","0.531"
"Spaca9","1.000","0.240","2.825e-02","1.166"
"Gtf3c4","1.000","0.334","0.480","1.561"
"Ddx31","1.000","0.408","0.282","1.964"
"Ttf1","1.000","0.238","2.597","0.575"
"Setx","1.000","0.273","1.388","0.783"
"Med27","1.000","0.252","2.352","0.605"
"Rapgef1","1.000","-0.220","1.953","-0.543"
"Trub2","1.000","0.230","1.044","0.786"
"Coq4","1.000","0.451","0.564","1.970"
"Slc27a4","1.000","-1.441","17.093","-1.733"
"Urm1","1.000","0.697","14.203","0.922"
"Cercam","1.000","0.240","2.825e-02","1.166"
"Odf2","1.000","0.408","2.258","1.037"
"Gle1","1.000","7.353e-02","0.621","0.309"
"Sptan1","1.000","-0.216","22.421","-0.223"
"Wdr34","1.000","8.950e-02","0.993","0.292"
"Set","1.000","-0.922","7.529","-1.533"
"Pkn3","1.000","5.064e-02","0.823","0.179"
"Zdhhc12","1.000","0.331","3.879","0.632"
"Zer1","1.000","0.341","1.637","0.976"
"Tbc1d13","1.000","-1.153","6.382","-1.885"
"Endog","1.000","4.811e-02","1.698","0.126"
"Spout1","1.000","-3.820e-04","2.381","-8.832e-04"
"Kyat1","1.000","-0.158","2.211","-0.374"
"Lrrc8a","1.000","-0.673","4.616","-1.217"
"Phyhd1","1.000","-4.707e-02","0.198","-0.227"
"Dolk","1.000","-0.418","0.767","-1.612"
"Nup188","1.000","0.259","2.178","0.618"
"Sh3glb2","1.000","0.286","20.123","0.322"
"Miga2","1.000","-0.223","2.861","-0.476"
"Dolpp1","1.000","0.183","2.117","0.474"
"Crat","1.000","5.580e-02","2.122","0.134"
"Ptpa","1.000","-0.570","7.089","-0.872"
"Ier5l","1.000","0.364","0.451","1.744"
"Ntmt1","1.000","1.540e-02","0.852","5.349e-02"
"Asb6","1.000","0.273","2.545","0.616"
"Ptges","1.000","0.349","0.310","1.676"
"Tor1b","1.000","-0.222","2.743","-0.488"
"Tor1a","1.000","-0.856","8.277","-1.271"
"BC005624","1.000","0.432","11.933","0.571"
"Usp20","1.000","0.103","1.190","0.311"
"Fnbp1","1.000","0.520","2.178","1.261"
"Gpr107","1.000","-8.415e-02","5.006","-0.147"
"Ncs1","1.000","0.405","0.141","1.958"
"Ass1","1.000","0.117","0.311","0.564"
"Fubp3","1.000","-0.699","3.892","-1.390"
"Exosc2","1.000","0.409","0.423","1.967"
"Abl1","1.000","0.651","5.939","1.027"
"Lamc3","1.000","0.240","2.825e-02","1.166"
"Nup214","1.000","0.262","1.383","0.800"
"Fam78a","1.000","0.156","5.650e-02","0.754"
"Prrc2b","1.000","0.588","9.415","0.784"
"Pomt1","1.000","0.294","0.734","1.152"
"Uck1","1.000","-0.999","3.379","-2.043"
"Swi5","1.000","-0.551","6.719","-0.877"
"Golga2","1.000","-1.020","17.204","-1.216"
"Dnm1","1.000","0.302","0.339","1.454"
"Ciz1","1.000","0.256","7.276","0.368"
"Lcn2","1.000","0.405","0.141","1.958"
"Ptges2","1.000","0.283","0.960","0.998"
"Slc25a25","1.000","-0.579","3.878","-1.117"
"Naif1","1.000","0.349","0.310","1.676"
"Fam102a","1.000","-1.385","61.512","-1.189"
"Dpm2","1.000","-9.575e-02","4.164","-0.179"
"Pip5kl1","1.000","9.336e-02","1.839","0.237"
"St6galnac4","1.000","0.185","0.677","0.750"
"St6galnac6","1.000","0.402","0.988","1.400"
"Ak1","1.000","-0.323","0.993","-1.037"
"Eng","1.000","0.408","0.282","1.964"
"Fpgs","1.000","0.814","2.378","2.075"
"Cdk9","1.000","-0.389","8.432","-0.568"
"Sh2d3c","1.000","0.405","0.141","1.958"
"Ttc16","1.000","1.282e-02","0.141","6.199e-02"
"Tor2a","1.000","0.754","4.838","1.286"
"Ptrh1","1.000","-1.189","18.158","-1.302"
"Stxbp1","1.000","0.858","2.180","2.435"
"Fam129b","1.000","-1.285","40.801","-1.125"
"Lrsam1","1.000","0.329","4.307","0.604"
"Slc2a8","1.000","0.177","0.254","0.854"
"Ralgps1","1.000","0.265","0.367","1.271"
"Angptl2","1.000","5.002e-02","0.395","0.240"
"Zbtb34","1.000","-4.858e-02","2.799","-0.106"
"Zbtb43","1.000","-4.440e-03","4.498","-8.035e-03"
"Mvb12b","1.000","-0.450","2.075","-1.139"
"Pbx3","1.000","0.337","0.677","1.365"
"Mapkap1","1.000","-0.536","3.515","-1.065"
"Gapvd1","1.000","0.775","7.947","1.083"
"Hspa5","1.000","0.298","28.195","0.303"
"Rabepk","1.000","-0.794","2.358","-1.852"
"Fbxw2","1.000","-6.132e-02","3.787","-0.121"
"Psmd5","1.000","0.262","0.564","1.143"
"Traf1","1.000","0.453","1.246","1.407"
"Hc","1.000","0.240","2.825e-02","1.166"
"Cntrl","1.000","0.267","1.585","0.724"
"Rab14","1.000","-0.489","22.944","-0.504"
"Gsn","1.000","-1.030","256.820","-0.730"
"Stom","1.000","0.497","14.304","0.579"
"Ggta1","1.000","-0.740","2.786","-1.667"
"Dab2ip","1.000","0.359","27.458","0.337"
"Ttll11","1.000","0.563","0.113","2.730"
"Ndufa8","1.000","-1.545","25.402","-1.761"
"Rbm18","1.000","-6.180e-02","3.856","-0.123"
"Mrrf","1.000","0.151","0.734","0.592"
"Ptgs1","1.000","-0.389","1.723","-1.096"
"Olfr3","1.000","0.240","2.825e-02","1.166"
"Pdcl","1.000","0.632","3.084","1.404"
"Rc3h2","1.000","0.487","5.097","0.813"
"Zbtb6","1.000","0.161","0.480","0.751"
"Zbtb26","1.000","0.117","0.311","0.564"
"Rabgap1","1.000","0.658","6.793","1.038"
"Strbp","1.000","-0.230","6.850","-0.357"
"Gpr21","1.000","0.943","2.152","2.691"
"Crb2","1.000","0.302","0.339","1.454"
"Dennd1a","1.000","0.408","0.282","1.964"
"Nek6","1.000","0.628","7.755","0.881"
"Psmb7","1.000","-0.856","5.106","-1.504"
"Nr6a1","1.000","-0.340","1.925","-0.845"
"Arpc5l","1.000","-0.220","4.696","-0.395"
"Golga1","1.000","-0.278","5.528","-0.476"
"Scai","1.000","0.532","0.846","1.973"
"Ppp6c","1.000","-0.395","8.756","-0.570"
"Lrp1b","1.000","0.240","2.825e-02","1.166"
"Arhgap15","1.000","1.282e-02","0.141","6.199e-02"
"Gtdc1","1.000","0.119","3.630","0.245"
"Zeb2","1.000","5.002e-02","0.395","0.240"
"Acvr2a","1.000","-0.376","3.374","-0.760"
"Orc4","1.000","0.463","2.342","1.162"
"Mbd5","1.000","0.191","1.101","0.637"
"Epc2","1.000","0.262","3.714","0.530"
"Kif5c","1.000","-0.108","3.566","-0.213"
"Lypd6b","1.000","-0.379","2.692","-0.827"
"Lypd6","1.000","9.646e-02","8.474e-02","0.467"
"Mmadhc","1.000","-0.125","5.037","-0.219"
"Rnd3","1.000","0.296","28.519","0.276"
"Rbm43","1.000","-0.110","0.739","-0.403"
"Nmi","1.000","-3.395e-03","10.723","-4.498e-03"
"Rif1","1.000","0.719","3.455","1.460"
"Arl5a","1.000","0.757","7.188","1.152"
"Stam2","1.000","-0.360","7.815","-0.534"
"Fmnl2","1.000","0.203","0.875","0.743"
"Prpf40a","1.000","2.138e-02","7.502","3.053e-02"
"Arl6ip6","1.000","-0.217","3.232","-0.448"
"Nr4a2","1.000","0.210","1.073","0.709"
