"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Plcb3",NA,"-0.470","6.309","-0.512"
"Ppp1r14b",NA,"0.472","3.600","0.600"
"Vegfb",NA,"-0.930","3.978","-1.202"
"Dnajc4",NA,"-9.378e-02","2.111","-0.176"
"Nudt22",NA,"0.126","2.840","0.191"
"Trpt1",NA,"0.763","1.618","1.770"
"Fermt3",NA,"0.854","1.233","2.459"
"Stip1",NA,"0.526","4.354","0.604"
"Macrod1",NA,"-0.423","1.915","-0.912"
"Otub1",NA,"7.886e-02","4.838","8.876e-02"
"Naa40",NA,"0.579","1.338","1.657"
"Rcor2",NA,"-0.340","0.471","-1.664"
"Mark2",NA,"-0.645","6.999","-0.709"
"Spindoc",NA,"0.703","5.133","0.836"
"Rtn3",NA,"-0.408","5.774","-0.451"
"Atl3",NA,"0.500","4.755","0.619"
"Plaat3",NA,"0.271","10.443","0.248"
"Lgals12",NA,"-1.020","4.072","-1.374"
"Plaat5",NA,"0.701","0.698","3.429"
"Slc22a28",NA,"0.701","0.698","3.429"
"Chrm1",NA,"-0.219","0.234","-1.076"
"Wdr74",NA,"0.352","3.379","0.472"
"Stx5a",NA,"-0.286","6.706","-0.300"
"Nxf1",NA,"-0.338","6.180","-0.387"
"Tmem223",NA,"0.549","7.674","0.548"
"Tmem179b",NA,"-0.108","3.314","-0.150"
"Taf6l",NA,"0.332","1.437","0.837"
"Polr2g",NA,"0.401","0.477","1.952"
"Zbtb3",NA,"1.620e-02","5.853e-02","7.994e-02"
"Ttc9c",NA,"-0.163","4.259","-0.199"
"Bscl2",NA,"0.368","3.966","0.442"
"Lrrn4cl",NA,"0.515","0.209","2.551"
"Uqcc3",NA,"-0.636","4.874","-0.814"
"Lbhd1",NA,"1.620e-02","5.853e-02","7.994e-02"
"Ints5",NA,"0.226","0.594","1.061"
"B3gat3",NA,"-0.234","4.035","-0.280"
"Rom1",NA,"1.620e-02","5.853e-02","7.994e-02"
"Eml3",NA,"-0.455","3.841","-0.578"
"Mta2",NA,"-1.106","5.486","-1.323"
