"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Edar","1.000","0.315","0.289","1.565"
"Sh3rf3","1.000","-0.518","0.505","-2.536"
"Sept10","1.000","0.712","2.581","1.255"
"Sowahc","1.000","-0.631","2.097","-1.287"
"P4ha1","1.000","-1.667","1.734","-4.318"
"Mcu","1.000","0.428","4.389","0.548"
"Micu1","1.000","0.609","4.104","0.822"
"Dnajb12","1.000","-0.101","7.377","-9.798e-02"
"Ddit4","1.000","0.789","3.424","1.216"
"Anapc16","1.000","0.866","9.164","0.818"
"Ascc1","1.000","0.208","0.747","0.886"
"Spock2","1.000","-0.317","0.264","-1.583"
"Chst3","1.000","-0.304","0.241","-1.516"
"Psap","1.000","-0.668","18.259","-0.536"
"Cdh23","1.000","0.255","0.194","1.271"
"Vsir","1.000","-0.282","2.872","-0.495"
"Slc29a3","1.000","-0.874","2.817","-1.461"
"Unc5b","1.000","0.136","0.628","0.668"
"Pcbd1","1.000","0.989","1.062","3.499"
"Sgpl1","1.000","-0.291","3.543","-0.420"
"Prf1","1.000","-0.304","0.241","-1.516"
"Pald1","1.000","-0.251","1.110","-0.852"
"Eif4ebp2","1.000","0.188","12.970","0.153"
"Lrrc20","1.000","0.662","2.508","1.165"
"Npffr1","1.000","-0.304","0.241","-1.516"
"Ppa1","1.000","0.974","7.764","1.004"
"Sar1a","1.000","-0.171","9.665","-0.157"
"Tysnd1","1.000","0.175","2.845","0.284"
"Aifm2","1.000","0.232","1.280","0.662"
"H2afy2","1.000","-0.304","0.241","-1.516"
"Col13a1","1.000","0.315","0.289","1.565"
"Fam241b","1.000","0.461","1.037","1.560"
"Tspan15","1.000","-0.247","10.873","-0.209"
"Hk1","1.000","0.853","10.100","0.855"
"Hkdc1","1.000","-0.262","0.699","-1.171"
"Supv3l1","1.000","-0.712","2.530","-1.244"
"Vps26a","1.000","2.790e-04","3.615","4.011e-04"
"Srgn","1.000","-2.318","8.481","-2.445"
"Kif1bp","1.000","-0.778","2.338","-1.492"
"Ddx21","1.000","0.836","33.619","0.609"
"Ddx50","1.000","-0.462","6.097","-0.499"
"Ccar1","1.000","1.197","11.890","1.049"
"Tet1","1.000","-0.304","0.241","-1.516"
"Slc25a16","1.000","0.191","1.301","0.538"
"Dna2","1.000","0.738","1.957","1.554"
"Rufy2","1.000","-3.722e-02","2.365","-7.096e-02"
"Hnrnph3","1.000","1.167","11.339","0.985"
"Pbld2","1.000","0.847","2.921","1.473"
"Herc4","1.000","-0.837","4.458","-1.078"
"Sirt1","1.000","0.993","4.052","1.619"
"Dnajc12","1.000","-0.518","0.505","-2.536"
"Ctnna3","1.000","-0.304","0.241","-1.516"
"Reep3","1.000","-8.161e-02","5.765","-9.132e-02"
"Jmjd1c","1.000","-4.182e-02","4.391","-5.386e-02"
"Nrbf2","1.000","-0.190","2.772","-0.305"
"Ado","1.000","0.532","1.665","1.200"
"Rtkn2","1.000","-0.317","0.264","-1.583"
"Arid5b","1.000","0.159","3.787","0.217"
"Cabcoco1","1.000","0.200","1.303","0.605"
"Tmem26","1.000","-0.304","0.241","-1.516"
"Rhobtb1","1.000","0.902","0.966","3.374"
"Cdk1","1.000","0.726","20.725","0.517"
"Ank3","1.000","1.034","3.790","1.490"
"Ccdc6","1.000","-0.729","16.538","-0.548"
"Slc16a9","1.000","0.255","0.194","1.271"
"Bicc1","1.000","-0.317","0.264","-1.583"
"Tfam","1.000","0.446","6.338","0.513"
"Ube2d1","1.000","0.168","2.243","0.310"
"Cisd1","1.000","0.404","2.724","0.751"
"Ipmk","1.000","0.174","2.750","0.309"
"Zwint","1.000","-7.725e-02","8.368","-7.142e-02"
"Rsph14","1.000","-0.304","0.241","-1.516"
"Gnaz","1.000","-4.406e-02","0.458","-0.219"
"Bcr","1.000","-0.165","3.325","-0.245"
"Specc1l","1.000","-0.522","4.121","-0.704"
"Adora2a","1.000","0.315","0.289","1.565"
"Gucd1","1.000","-0.289","4.990","-0.345"
"Upb1","1.000","0.255","0.194","1.271"
"Snrpd3","1.000","1.189","8.807","1.137"
"Ggt1","1.000","-0.505","0.482","-2.475"
"Ggt5","1.000","-0.553","1.688","-1.348"
"Cabin1","1.000","-6.554e-02","6.779","-6.711e-02"
"Ddt","1.000","0.757","2.027","1.630"
"Gstt3","1.000","0.376","7.548","0.363"
"Gstt1","1.000","-0.295","1.180","-0.963"
"Gstt4","1.000","-0.317","0.264","-1.583"
"Gstt2","1.000","0.587","2.968","0.942"
"Mif","1.000","4.249e-02","2.580","7.460e-02"
"Derl3","1.000","-0.222","0.795","-0.905"
"Smarcb1","1.000","-0.323","3.424","-0.472"
"Mmp11","1.000","-0.304","0.241","-1.516"
"Chchd10","1.000","-1.426","5.565","-1.707"
"Vpreb3","1.000","-0.629","0.723","-3.058"
"Zfp280b","1.000","-4.096e-02","3.519","-5.843e-02"
"Prmt2","1.000","-0.222","0.795","-0.905"
