"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Tarbp2","1.000","-0.332","2.372","-0.679"
"Npff","1.000","-8.307e-02","0.643","-0.311"
"Atf7","1.000","0.230","1.612","0.592"
"Calcoco1","1.000","-0.423","5.587","-0.585"
"Hoxc11","1.000","-0.136","7.986e-02","-0.671"
"Smug1","1.000","-0.982","1.726","-2.523"
"Cbx5","1.000","0.127","2.577","0.247"
"Hnrnpa1","1.000","-0.321","0.240","-1.580"
"Copz1","1.000","0.223","7.917","0.272"
"Itga5","1.000","0.340","0.445","1.483"
"Nckap1l","1.000","-0.917","0.908","-3.049"
"Pde1b","1.000","0.358","0.122","1.767"
"Zfp263","1.000","-0.293","2.507","-0.590"
"Zfp174","1.000","-0.172","1.113","-0.485"
"Zfp597","1.000","-0.302","0.991","-0.892"
"Naa60","1.000","-0.339","0.962","-1.080"
"Cluap1","1.000","1.237e-03","1.637","2.970e-03"
"Nlrc3","1.000","-0.321","0.240","-1.580"
"Slx4","1.000","-0.136","7.986e-02","-0.671"
"Trap1","1.000","-0.407","3.028","-0.757"
"Crebbp","1.000","-0.797","3.373","-1.440"
"Adcy9","1.000","0.139","1.289","0.392"
"Tfap4","1.000","0.548","1.884","1.283"
"Glis2","1.000","-0.480","0.869","-1.499"
"Coro7","1.000","0.166","0.806","0.568"
"Vasn","1.000","-0.196","1.394","-0.505"
"Dnaja3","1.000","0.702","4.216","1.106"
"Nmral1","1.000","-8.307e-02","0.643","-0.311"
"Hmox2","1.000","0.203","2.308","0.403"
"Cdip1","1.000","-0.116","3.233","-0.210"
"Ubald1","1.000","-0.488","2.264","-1.035"
"Mgrn1","1.000","-0.951","5.232","-1.374"
"Nudt16l1","1.000","-0.951","2.390","-2.027"
"Anks3","1.000","0.378","5.746","0.508"
"Smim22","1.000","-0.436","4.488","-0.656"
"Rogdi","1.000","-0.107","6.179","-0.141"
"Glyr1","1.000","-5.937e-02","10.231","-6.658e-02"
"Ubn1","1.000","0.240","4.672","0.355"
"Ppl","1.000","-1.746e-04","0.281","-8.491e-04"
"Nagpa","1.000","-0.486","0.479","-2.260"
"Alg1","1.000","-9.540e-02","4.963","-0.148"
"Eef2kmt","1.000","-1.746e-04","0.281","-8.491e-04"
"Mettl22","1.000","-7.635e-02","0.361","-0.362"
"Abat","1.000","-0.136","7.986e-02","-0.671"
"Tmem186","1.000","0.271","1.129","0.811"
"Pmm2","1.000","0.864","3.885","1.467"
"Carhsp1","1.000","-1.304","2.697","-2.668"
"Usp7","1.000","-7.320e-02","4.400","-0.118"
"Emp2","1.000","-0.147","0.441","-0.642"
"Nubp1","1.000","-0.326","2.696","-0.656"
"Ciita","1.000","-0.248","0.160","-1.220"
"Dexi","1.000","-0.197","6.154","-0.258"
"Clec16a","1.000","0.340","0.445","1.483"
"Socs1","1.000","0.358","0.122","1.767"
"Litaf","1.000","-0.413","1.714","-0.980"
"Snn","1.000","0.228","0.323","1.108"
"Txndc11","1.000","-0.260","14.744","-0.248"
"Zc3h7a","1.000","0.882","14.569","0.855"
"Gspt1","1.000","0.431","2.912","0.828"
"Snx29","1.000","-0.314","12.668","-0.341"
"Cpped1","1.000","-0.180","2.304","-0.361"
"Shisa9","1.000","-0.136","7.986e-02","-0.671"
"Ercc4","1.000","-0.261","1.822","-0.598"
"Mrtfb","1.000","0.411","2.283","0.863"
"Parn","1.000","-4.586e-02","0.844","-0.154"
"Bfar","1.000","-0.113","1.407","-0.309"
"Pla2g10","1.000","-1.282","1.416","-3.643"
"Rrn3","1.000","-8.307e-02","0.643","-0.311"
"Ntan1","1.000","0.271","1.129","0.811"
