"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Cyp4f14","1.000","0.784","0.172","3.859"
"Cyp4f13","1.000","0.390","4.552","0.605"
"Zfp472","1.000","-8.722e-02","0.796","-0.260"
"Zfp952","1.000","0.475","2.486","2.056"
"Zfp763","1.000","0.339","0.341","1.535"
"Zfp563","1.000","0.241","0.737","0.797"
"Zfp955a","1.000","0.106","0.567","0.356"
"Zfp955b","1.000","-0.316","0.564","-1.157"
"Zfp81","1.000","0.425","1.199","1.209"
"Zfp101","1.000","0.963","8.147","1.445"
"Actl9","1.000","0.166","0.171","0.809"
"Adamts10","1.000","-0.276","1.476","-0.644"
"Myo1f","1.000","0.316","0.399","1.240"
"Zfp414","1.000","-0.132","4.148","-0.215"
"Hnrnpm","1.000","1.841e-02","29.385","1.600e-02"
"March2","1.000","1.154e-02","9.014","1.391e-02"
"Rab11b","1.000","-0.208","13.971","-0.221"
"Angptl4","1.000","0.329","5.627e-02","1.621"
"Ndufa7","1.000","-0.518","50.555","-0.445"
"Cd320","1.000","-0.610","18.106","-0.657"
"Kifc1","1.000","0.906","0.572","3.389"
"Daxx","1.000","-0.540","6.075","-0.778"
"Tapbp","1.000","-1.256","34.233","-1.250"
"Zbtb22","1.000","-0.377","9.148","-0.475"
"Rgl2","1.000","-0.317","15.675","-0.351"
"Pfdn6","1.000","-0.352","16.185","-0.363"
"Wdr46","1.000","-0.398","7.361","-0.525"
"B3galt4","1.000","-0.465","1.817","-1.015"
"Vps52","1.000","0.167","10.844","0.186"
"H2-K1","1.000","-0.485","40.308","-0.440"
"Ring1","1.000","-0.118","10.354","-0.145"
"H2-Ke6","1.000","0.650","12.962","0.693"
"Slc39a7","1.000","-0.364","27.943","-0.323"
"Rxrb","1.000","0.473","15.682","0.487"
"Col11a2","1.000","0.532","0.228","2.597"
"Brd2","1.000","-0.693","13.437","-0.745"
"H2-DMa","1.000","-0.261","0.508","-0.994"
"H2-DMb2","1.000","0.329","5.627e-02","1.621"
"H2-DMb1","1.000","5.431e-02","0.227","0.264"
"Psmb9","1.000","-0.999","2.208","-2.074"
"Tap1","1.000","-0.479","3.101","-1.937"
"Psmb8","1.000","-0.171","1.305","-0.416"
"Tap2","1.000","-1.185","6.455","-1.727"
"H2-Ab1","1.000","-0.275","2.779","-0.514"
"H2-Aa","1.000","6.503e-02","0.964","0.179"
"H2-Eb1","1.000","9.802e-02","5.433","0.149"
"BC051142","1.000","0.784","0.172","3.859"
"Btnl4","1.000","-0.380","0.675","-1.428"
"Btnl6","1.000","0.784","0.172","3.859"
"Gpsm3","1.000","0.266","1.022","0.779"
"Pbx2","1.000","-0.325","5.677","-0.475"
"Ager","1.000","0.203","0.113","0.992"
"Rnf5","1.000","-0.523","16.019","-0.575"
"Agpat1","1.000","-0.647","8.118","-0.852"
"Ppt2","1.000","-0.380","5.906","-0.547"
"Fkbpl","1.000","0.418","1.538","0.960"
"Atf6b","1.000","-0.365","7.207","-0.496"
"Tnxb","1.000","-0.131","1.249","-0.324"
"C4b","1.000","-0.189","3.735","-0.336"
"Stk19","1.000","6.326e-02","4.316","0.102"
"Dxo","1.000","0.547","7.382","0.685"
"Skiv2l","1.000","-0.414","7.434","-0.557"
"Nelfe","1.000","-0.611","5.847","-0.896"
"Cfb","1.000","-0.415","1.696","-0.955"
"C2","1.000","-0.185","0.450","-0.814"
"Zbtb12","1.000","-7.089e-02","3.584","-0.122"
"Ehmt2","1.000","-0.457","18.218","-0.454"
"Slc44a4","1.000","2.277e-02","15.808","2.367e-02"
"Neu1","1.000","-0.319","22.737","-0.297"
"Hspa1b","1.000","-0.314","1.079","-0.831"
"Hspa1a","1.000","5.431e-02","0.227","0.264"
"Lsm2","1.000","0.526","1.994","1.103"
"Vars","1.000","-0.915","16.855","-1.002"
"Vwa7","1.000","-0.132","0.397","-0.563"
"Sapcd1","1.000","0.203","0.113","0.992"
"Msh5","1.000","0.203","0.113","0.992"
"Clic1","1.000","-0.119","12.518","-0.131"
"Ddah2","1.000","0.496","0.797","1.592"
"Ly6g6c","1.000","8.739e-02","0.566","0.321"
"Ly6g6d","1.000","-5.786e-02","1.533","-0.132"
"Ly6g6e","1.000","-0.146","1.246","-0.368"
"Abhd16a","1.000","-0.627","18.100","-0.626"
"Csnk2b","1.000","-0.278","7.331","-0.374"
"Gpank1","1.000","-0.186","5.625","-0.270"
"D17H6S53E","1.000","2.686e-02","23.832","2.470e-02"
"Bag6","1.000","0.158","27.663","0.141"
"Prrc2a","1.000","-0.956","30.198","-0.887"
"Aif1","1.000","-1.643e-02","0.283","-7.936e-02"
"Lst1","1.000","0.784","0.172","3.859"
"Tnf","1.000","0.329","5.627e-02","1.621"
"Nfkbil1","1.000","0.277","5.562","0.402"
"Atp6v1g2","1.000","0.360","0.625","1.269"
"Ddx39b","1.000","-7.490e-02","11.520","-8.255e-02"
"H2-D1","1.000","-0.639","5.944","-0.979"
"H2-Q1","1.000","0.329","5.627e-02","1.621"
"H2-Q2","1.000","0.143","0.911","0.412"
"H2-Q4","1.000","0.203","0.113","0.992"
"H2-Q6","1.000","-1.395","5.193","-2.332"
"H2-Q7","1.000","-2.757e-02","0.281","-0.133"
"Tcf19","1.000","9.502e-02","1.647","0.213"
"Cchcr1","1.000","-0.285","1.929","-0.602"
"Mucl3","1.000","-1.484","37.872","-1.709"
"Vars2","1.000","-0.128","4.150","-0.208"
"Gtf2h4","1.000","-8.475e-02","1.591","-0.192"
"Ddr1","1.000","-0.840","46.626","-0.682"
"Ier3","1.000","-0.853","3.854","-1.439"
"Flot1","1.000","0.551","2.788","1.058"
"Tubb5","1.000","-9.408e-03","5.783","-1.331e-02"
"Mdc1","1.000","-0.550","2.497","-1.068"
"Nrm","1.000","-0.298","0.568","-1.103"
"Ppp1r18","1.000","0.532","0.228","2.597"
"Dhx16","1.000","-3.430e-02","8.236","-4.469e-02"
"Atat1","1.000","-2.911e-02","2.673","-5.485e-02"
"Ppp1r10","1.000","0.547","9.231","0.683"
"Abcf1","1.000","0.525","11.233","0.579"
"Prr3","1.000","9.952e-03","1.082","2.705e-02"
"Gnl1","1.000","-0.335","8.008","-0.437"
"H2-T24","1.000","0.532","0.228","2.597"
"H2-T23","1.000","-0.143","0.396","-0.603"
"H2-T3","1.000","1.145","2.092","5.603"
"Rpp21","1.000","-0.359","29.859","-0.334"
"Trim39","1.000","-0.141","7.030","-0.185"
"Trim26","1.000","-3.488e-02","8.259","-4.698e-02"
"Trim15","1.000","0.203","0.113","0.992"
"Trim40","1.000","0.329","5.627e-02","1.621"
"Rnf39","1.000","1.115","2.204","2.855"
"Ppp1r11","1.000","-0.108","15.604","-0.110"
"Znrd1","1.000","-0.679","2.777","-1.273"
"Znrd1as","1.000","4.702e-02","0.624","0.152"
"Zfp57","1.000","0.118","0.169","0.576"
"Gabbr1","1.000","0.274","20.673","0.257"
"H2-M3","1.000","0.427","0.911","1.201"
"Olfr121","1.000","1.145","2.092","5.603"
"Cenpq","1.000","-0.161","1.307","-0.394"
"Mmut","1.000","-0.379","19.518","-0.366"
"Adgrf4","1.000","0.329","5.627e-02","1.621"
"Cd2ap","1.000","-2.827e-02","37.474","-2.341e-02"
"Tnfrsf21","1.000","-0.697","5.426","-1.100"
"Adgrf5","1.000","0.784","0.172","3.859"
"Pla2g7","1.000","0.307","1.023","0.826"
"Slc25a27","1.000","0.931","3.800","1.544"
"Cyp39a1","1.000","0.729","5.276","1.038"
"Rcan2","1.000","0.766","0.628","2.738"
"Enpp5","1.000","-0.756","27.421","-0.679"
"Enpp4","1.000","-0.945","15.645","-0.983"
"Clic5","1.000","-0.104","0.791","-0.336"
"Runx2","1.000","1.655","3.918","2.759"
"Supt3","1.000","-0.532","3.523","-0.928"
"Cdc5l","1.000","0.498","11.285","0.548"
"Tmem151b","1.000","0.784","0.172","3.859"
"Nfkbie","1.000","0.201","0.453","0.806"
"Slc35b2","1.000","-0.455","16.359","-0.498"
"Hsp90ab1","1.000","-0.232","56.516","-0.196"
"Slc29a1","1.000","-0.660","0.960","-1.965"
"Mymx","1.000","0.203","0.113","0.992"
"Tmem63b","1.000","-0.515","19.988","-0.545"
"Vegfa","1.000","-0.476","39.824","-0.394"
"Rsph9","1.000","-0.131","1.249","-0.324"
"Mad2l1bp","1.000","-0.328","3.863","-0.548"
"Gtpbp2","1.000","0.393","28.798","0.344"
"Polh","1.000","0.347","0.683","1.089"
"Xpo5","1.000","0.253","5.159","0.369"
"Polr1c","1.000","0.207","4.261","0.338"
"Yipf3","1.000","-0.758","23.716","-0.721"
"Lrrc73","1.000","0.329","5.627e-02","1.621"
"Tjap1","1.000","-0.535","4.476","-0.866"
"Abcc10","1.000","-0.107","27.619","-0.100"
"Zfp318","1.000","0.895","9.818","1.035"
"Crip3","1.000","0.166","0.171","0.809"
"Ttbk1","1.000","0.329","5.627e-02","1.621"
"Dnph1","1.000","0.329","5.627e-02","1.621"
