"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Mknk2","1.000","0.581","35.090","0.401"
"Mob3a","1.000","-4.018e-02","1.430","-0.105"
"Izumo4","1.000","-0.287","0.793","-0.930"
"Ap3d1","1.000","-0.279","21.383","-0.229"
"Dot1l","1.000","-0.125","6.304","-0.164"
"Plekhj1","1.000","-0.513","13.190","-0.521"
"Sf3a2","1.000","-0.293","1.759","-0.750"
"Amh","1.000","0.312","8.048e-02","1.535"
"Oaz1","1.000","7.840e-02","41.519","5.523e-02"
"Lsm7","1.000","0.196","4.098","0.306"
"Sppl2b","1.000","-9.610e-02","6.822","-0.127"
"Tmprss9","1.000","-0.137","1.168","-0.381"
"Timm13","1.000","-0.322","21.237","-0.270"
"Lmnb2","1.000","-5.870e-02","7.030","-7.493e-02"
"Gadd45b","1.000","0.706","4.703","1.065"
"Slc39a3","1.000","0.438","3.791","0.721"
"Sgta","1.000","-0.874","6.568","-1.204"
"Thop1","1.000","-2.411e-02","5.430","-3.356e-02"
"Creb3l3","1.000","0.161","1.818","0.391"
"Map2k2","1.000","-0.444","31.072","-0.319"
"Zbtb7a","1.000","0.151","35.973","0.104"
"Pias4","1.000","-0.608","5.834","-0.825"
"Eef2","1.000","-0.353","44.214","-0.256"
"Dapk3","1.000","0.192","24.816","0.149"
"Zfr2","1.000","0.527","0.322","2.586"
"Matk","1.000","0.698","0.563","3.111"
"Apba3","1.000","-0.403","1.566","-0.997"
"Tjp3","1.000","-0.607","70.470","-0.369"
"Pip5k1c","1.000","-0.504","4.317","-0.817"
"Cactin","1.000","-2.522e-02","5.353","-3.541e-02"
"Hmg20b","1.000","0.448","7.700","0.551"
"Mfsd12","1.000","-0.282","3.304","-0.500"
"Fzr1","1.000","-0.682","11.820","-0.692"
"Dohh","1.000","-0.625","10.216","-0.720"
"Smim24","1.000","1.643","146.781","0.917"
"Nfic","1.000","-1.125e-02","2.153","-2.428e-02"
"Ncln","1.000","-0.610","9.250","-0.684"
"S1pr4","1.000","9.975e-02","0.507","0.421"
"Gna11","1.000","-0.785","12.916","-0.774"
"Tle5","1.000","-0.367","30.741","-0.265"
"Tle2","1.000","0.115","0.801","0.402"
"Tle6","1.000","-0.186","0.874","-0.580"
"Sirt6","1.000","-0.664","4.534","-1.056"
"Ankrd24","1.000","-0.285","0.580","-1.056"
"Zfp873","1.000","0.514","2.458","1.206"
"BC024063","1.000","0.484","1.045","1.646"
"AU041133","1.000","0.476","1.360","1.387"
"Zfp938","1.000","0.212","1.493","0.554"
"Tdg","1.000","-7.728e-02","0.346","-0.376"
"Hcfc2","1.000","-0.431","3.016","-0.816"
"Nfyb","1.000","-0.173","7.138","-0.222"
"Txnrd1","1.000","-1.988e-03","28.771","-1.479e-03"
"Eid3","1.000","0.882","7.636","1.084"
"Slc41a2","1.000","-0.226","7.965","-0.274"
"D10Wsu102e","1.000","0.290","1.979","0.670"
"Aldh1l2","1.000","0.158","0.982","0.481"
"Washc4","1.000","-0.592","1.933","-1.338"
"Appl2","1.000","-0.340","43.412","-0.249"
"Nuak1","1.000","0.312","8.048e-02","1.535"
"Ckap4","1.000","0.509","20.307","0.423"
"Tcp11l2","1.000","-0.734","3.041","-1.396"
"Polr3b","1.000","-0.587","3.366","-1.048"
"Rfx4","1.000","0.796","0.913","3.053"
"Ric8b","1.000","-0.316","3.221","-0.594"
"Tmem263","1.000","-1.115","6.895","-1.538"
"Mterf2","1.000","1.153","1.154","3.667"
"Cry1","1.000","0.185","2.112","0.416"
"Pwp1","1.000","0.697","3.367","1.234"
"Prdm4","1.000","-0.933","2.208","-2.138"
"Rtcb","1.000","-0.395","7.914","-0.468"
"Fbxo7","1.000","0.346","0.829","1.204"
"Syn3","1.000","2.095e-02","0.821","6.794e-02"
"Timp3","1.000","0.222","0.374","1.067"
"Hsp90b1","1.000","-1.372","28.992","-1.098"
"Ttc41","1.000","0.222","0.374","1.067"
"Nt5dc3","1.000","-0.441","3.374","-0.795"
"Igf1","1.000","-7.135e-02","1.136","-0.222"
"Pmch","1.000","0.796","0.913","3.053"
"Parpbp","1.000","-0.198","0.479","-0.855"
"Nup37","1.000","-1.044e-02","1.329","-2.762e-02"
"Washc3","1.000","0.464","4.129","0.747"
"Dram1","1.000","0.152","0.294","0.743"
"Gnptab","1.000","-0.415","7.730","-0.501"
"Chpt1","1.000","-1.072","29.806","-0.875"
"Arl1","1.000","-0.464","3.475","-0.820"
"Utp20","1.000","-1.373e-02","0.640","-5.252e-02"
"Ano4","1.000","0.410","0.161","2.016"
"Gas2l3","1.000","-0.151","0.133","-0.747"
"Nr1h4","1.000","7.417e-02","1.602","0.196"
"Scyl2","1.000","-0.446","9.071","-0.509"
"Actr6","1.000","0.231","0.668","0.876"
"Uhrf1bp1l","1.000","1.181e-02","2.637","2.368e-02"
"Apaf1","1.000","0.394","6.036","0.544"
"Ikbip","1.000","0.349","1.766","0.849"
"Slc25a3","1.000","-0.581","38.383","-0.407"
"Tmpo","1.000","3.003e-03","0.934","9.835e-03"
"Nedd1","1.000","-0.345","5.069","-0.496"
"Cdk17","1.000","-0.142","5.076","-0.203"
"Elk3","1.000","0.842","1.742","2.099"
"Lta4h","1.000","-0.481","7.471","-0.587"
"Snrpf","1.000","-2.460e-02","4.202","-3.791e-02"
"Ntn4","1.000","-0.511","2.227","-1.093"
"Metap2","1.000","0.777","25.104","0.683"
"Vezt","1.000","0.178","3.409","0.300"
"Fgd6","1.000","5.047e-02","3.224","9.388e-02"
"Nr2c1","1.000","-9.348e-02","0.560","-0.378"
"Ndufa12","1.000","-0.604","10.767","-0.654"
"Tmcc3","1.000","0.477","3.683","0.846"
"Cep83","1.000","0.301","5.140","0.428"
"Plxnc1","1.000","-0.337","1.108","-0.970"
"Cradd","1.000","0.477","1.364","1.353"
"Socs2","1.000","-0.797","6.447","-1.112"
"Ube2n","1.000","-1.130","2.058","-2.522"
"Nudt4","1.000","0.525","4.007","0.852"
"Eea1","1.000","-5.964e-02","6.353","-7.769e-02"
"Btg1","1.000","0.656","5.312","0.921"
"Dcn","1.000","-6.795e-02","2.983","-0.130"
"Lum","1.000","-7.728e-02","0.346","-0.376"
"Epyc","1.000","0.796","0.913","3.053"
"Atp2b1","1.000","-0.284","10.554","-0.298"
"Poc1b","1.000","-4.121e-02","4.303","-6.335e-02"
"Galnt4","1.000","-0.559","29.507","-0.426"
"Phxr2","1.000","0.312","8.048e-02","1.535"
"Dusp6","1.000","0.171","2.608","0.330"
"Csl","1.000","0.796","0.913","3.053"
"Kitl","1.000","0.186","2.913","0.365"
"Tmtc3","1.000","-9.348e-02","0.560","-0.378"
"Cep290","1.000","-0.322","1.433","-0.822"
"Tmtc2","1.000","-1.085","3.342","-2.029"
"Mettl25","1.000","-3.828e-02","1.147","-0.115"
"Ccdc59","1.000","0.157","10.107","0.168"
"Lin7a","1.000","0.410","0.161","2.016"
"Ppp1r12a","1.000","-0.368","18.787","-0.312"
"Pawr","1.000","0.536","7.228","0.660"
"E2f7","1.000","1.257","3.084","2.828"
"Csrp2","1.000","-0.269","15.156","-0.254"
"Zdhhc17","1.000","1.367","1.396","4.023"
"Osbpl8","1.000","-0.303","3.076","-0.562"
"Bbs10","1.000","0.796","0.913","3.053"
"Nap1l1","1.000","-0.151","0.133","-0.747"
"Phlda1","1.000","0.620","21.250","0.517"
"Krr1","1.000","-0.367","2.457","-0.777"
"Atxn7l3b","1.000","-0.810","14.401","-0.767"
"Tbc1d15","1.000","-0.541","6.240","-0.711"
"Rab21","1.000","-1.116","17.694","-1.124"
"Tmem19","1.000","-0.488","10.921","-0.508"
"Thap2","1.000","-0.350","3.748","-0.605"
"Zfc3h1","1.000","0.949","14.201","0.897"
"Lgr5","1.000","0.527","0.322","2.586"
"Tspan8","1.000","-0.761","220.166","-0.387"
"Ptprr","1.000","-0.113","2.182","-0.244"
"Taf7l2","1.000","0.796","0.913","3.053"
"Kcnmb4","1.000","0.312","8.048e-02","1.535"
"Cnot2","1.000","-0.455","5.576","-0.668"
"Rab3ip","1.000","-0.100","12.109","-0.102"
"Cct2","1.000","-0.217","7.674","-0.263"
"Frs2","1.000","-0.791","8.819","-0.952"
"Yeats4","1.000","4.600e-02","1.409","0.119"
"Lyz2","1.000","0.181","2.553","0.364"
"Lyz1","1.000","1.661","1.798","4.465"
"Cpsf6","1.000","-0.411","15.646","-0.381"
"Cpm","1.000","2.095e-02","0.821","6.794e-02"
"Mdm2","1.000","0.544","11.517","0.559"
"Slc35e3","1.000","0.230","15.761","0.206"
"Nup107","1.000","0.623","0.483","2.956"
"Rap1b","1.000","0.534","13.211","0.530"
"Mdm1","1.000","0.312","8.048e-02","1.535"
"Dyrk2","1.000","-0.510","16.333","-0.457"
"Cand1","1.000","0.158","3.126","0.301"
"Helb","1.000","0.231","0.668","0.876"
"Tmbim4","1.000","-8.924e-02","7.500","-0.109"
"Llph","1.000","-0.425","0.713","-1.441"
"Hmga2","1.000","0.222","0.374","1.067"
"Msrb3","1.000","1.071","1.074","3.525"
