"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Kcnc4","1.000","0.194","0.227","1.147"
"Strip1","1.000","0.463","8.023","0.912"
"Ahcyl1","1.000","0.241","14.043","0.835"
"Csf1","1.000","-0.419","0.191","-2.531"
"Eps8l3","1.000","0.730","72.413","0.601"
"Gstm5","1.000","0.286","1.383","1.185"
"Gstm7","1.000","-6.523e-02","0.513","-0.383"
"Gstm3","1.000","-0.315","1.180","-1.452"
"Gstm2","1.000","-0.269","6.018","-0.558"
"Gstm1","1.000","-0.153","2.301","-0.516"
"Gstm4","1.000","0.194","0.227","1.147"
"Ampd2","1.000","-0.139","1.502","-0.565"
"Gnai3","1.000","3.488e-02","31.157","3.724e-02"
"Amigo1","1.000","-1.003","1.857","-4.187"
"Cyb561d1","1.000","0.612","7.165","1.257"
"Atxn7l2","1.000","-0.468","0.286","-2.825"
"Psma5","1.000","0.468","9.344","0.802"
"Sort1","1.000","-9.269e-02","21.890","-0.111"
"Celsr2","1.000","0.370","0.453","2.147"
"Sars","1.000","0.117","26.736","0.133"
"Tmem167b","1.000","4.195e-02","16.993","5.540e-02"
"Taf13","1.000","0.366","1.192","1.619"
"Wdr47","1.000","-6.523e-02","0.513","-0.383"
"Clcc1","1.000","0.291","1.896","1.051"
"Gpsm2","1.000","-0.138","9.806","-0.229"
"Prpf38b","1.000","0.375","31.112","0.398"
"Fam102b","1.000","0.628","9.347","1.164"
"Slc25a24","1.000","-0.269","13.905","-0.386"
"Vav3","1.000","6.350e-02","2.442","0.206"
"Ntng1","1.000","5.699e-02","0.322","0.335"
"Prmt6","1.000","0.481","1.836","1.761"
"Rnpc3","1.000","0.294","8.031","0.538"
"Col11a1","1.000","0.194","0.227","1.147"
"S1pr1","1.000","-0.348","9.534e-02","-2.108"
"Dph5","1.000","0.366","1.192","1.619"
"Slc30a7","1.000","7.050e-02","17.943","9.328e-02"
"Extl2","1.000","-0.562","0.572","-3.395"
"Cdc14a","1.000","0.295","4.459","0.737"
"Rtca","1.000","-0.982","7.015","-2.041"
"Dbt","1.000","0.236","2.086","0.821"
"Lrrc39","1.000","0.646","3.124","1.887"
"Trmt13","1.000","-1.335","5.894","-3.416"
"Sass6","1.000","-0.684","2.561","-2.219"
"Mfsd14a","1.000","-0.504","3.967","-1.270"
"Slc35a3","1.000","0.310","21.740","0.386"
"Frrs1","1.000","0.290","8.855","0.509"
"Palmd","1.000","5.699e-02","0.322","0.335"
"Snx7","1.000","-0.144","16.790","-0.191"
"Dpyd","1.000","5.699e-02","0.322","0.335"
"Ptbp2","1.000","0.297","6.493","0.616"
"Rwdd3","1.000","0.295","0.870","1.503"
"Tmem56","1.000","-0.318","1.893","-1.292"
"Alg14","1.000","0.252","3.111","0.736"
"Cnn3","1.000","0.286","1.383","1.185"
"Slc44a3","1.000","-0.150","4.134","-0.366"
"F3","1.000","0.366","1.192","1.619"
"Abcd3","1.000","-0.313","45.293","-0.293"
"Arhgap29","1.000","8.806e-02","2.658","0.276"
"Gclm","1.000","-0.636","32.905","-0.663"
"Dnttip2","1.000","0.520","3.088","1.528"
"Bcar3","1.000","-9.195e-02","9.606","-0.157"
"Fnbp1l","1.000","9.741e-02","47.377","8.900e-02"
"Pde5a","1.000","4.313e-02","5.195","9.454e-02"
"Fabp2","1.000","-0.640","7.366","-1.348"
"Usp53","1.000","0.561","62.081","0.486"
"Synpo2","1.000","-0.126","2.205","-0.432"
"Sec24d","1.000","-0.124","5.958","-0.257"
"Mettl14","1.000","0.366","1.192","1.619"
"Prss12","1.000","0.370","0.453","2.147"
"Ugt8a","1.000","-0.348","9.534e-02","-2.108"
"Camk2d","1.000","-0.261","87.456","-0.202"
"Ank2","1.000","5.699e-02","0.322","0.335"
"Larp7","1.000","0.524","1.741","1.962"
"Alpk1","1.000","0.253","4.137","0.653"
"Tifa","1.000","0.194","0.227","1.147"
"Ap1ar","1.000","-0.463","11.819","-0.713"
"Fam241a","1.000","-0.455","22.473","-0.543"
"Elovl6","1.000","0.255","4.649","0.626"
"Lrit3","1.000","-0.111","1.407","-0.466"
"Gar1","1.000","0.646","2.707","2.003"
"Cfi","1.000","0.705","5.019","1.681"
"Pla2g12a","1.000","-7.888e-02","16.218","-0.106"
"Casp6","1.000","-0.587","56.600","-0.517"
"Mcub","1.000","0.360","0.775","1.929"
"Sec24b","1.000","0.446","13.958","0.663"
"Ostc","1.000","-0.489","13.084","-0.730"
"Lef1","1.000","0.473","0.680","2.732"
"Hadh","1.000","-0.440","19.897","-0.547"
"Sgms2","1.000","-0.118","38.479","-0.117"
"Papss1","1.000","-0.237","27.520","-0.268"
"Dkk2","1.000","0.194","0.227","1.147"
"Aimp1","1.000","-0.816","8.230","-1.521"
"Tbck","1.000","-1.451","8.550","-2.975"
